,Player,INT,INT TD,INT Yds,Lng
19,Mike Hughes,1,0,0,0
20,Marlon Humphrey,1,0,0,0
21,Adoree' Jackson,1,0,10,10
22,Kareem Jackson,1,0,7,7
23,Janoris Jenkins,1,0,0,0
24,Malcolm Jenkins,1,1,34,34
0,Jaquan Johnson,1,0,25,25
1,Jaylon Johnson,1,0,3,3
2,Taron Johnson,1,0,4,4
3,Brandon Jones,1,0,8,8
4,Jonathan Jones,1,0,0,0
5,Kevin King,1,0,0,0
6,Christian Kirksey,1,0,1,1
7,A.J. Klein,1,0,12,12
8,Demarcus Lawrence,1,1,40,40
9,Nevin Lawson,1,0,11,11
10,Shaq Lawson,1,0,1,1
11,Tyquan Lewis,1,0,8,8
12,David Long,1,0,0,0
13,Julian Love,1,0,0,0
14,Blake Lynch,1,0,2,2
15,Avonte Maddox,1,0,-1,-1
16,Tyler Matakevich,1,0,15,15
17,Steve McLendon,1,0,0,0
18,Terrance Mitchell,1,0,22,22
19,Tre'von Moehrig,1,0,35,35
20,Elijah Molden,1,1,2,2
21,C.J. Moore,1,0,21,21
22,Emmanuel Moseley,1,0,0,0
23,Trayvon Mullen,1,0,18,18
24,Eric Murray,1,0,0,0
0,Sharrod Neasman,1,0,13,13
1,Steven Nelson,1,0,4,4
2,Nick Niemann,1,0,0,0
3,Josh Norman,1,0,40,40
4,Tre Norwood,1,0,0,0
5,Uchenna Nwosu,1,0,2,2
6,George Odum,1,0,21,21
7,Julian Okwara,1,0,9,9
8,Jonathan Owens,1,0,7,7
9,AJ Parker,1,0,0,0
10,Patrick Peterson,1,1,66,66
11,James Pierre,1,0,0,0
12,Germaine Pratt,1,0,4,4
13,Xavier Rhodes,1,0,4,4
14,Malcolm Roach,1,0,5,5
15,Elandon Roberts,1,1,85,85
16,Bradley Roby,1,0,2,2
17,Robert Rochell,1,0,1,1
18,Greg Rousseau,1,0,3,3
19,Joe Schobert,1,0,23,23
20,Richard Sherman,1,0,0,0
21,Isaiah Simmons,1,0,0,0
22,Alex Singleton,1,1,29,29
23,Buster Skrine,1,0,17,17
24,Harrison Smith,1,0,10,10
0,Roquan Smith,1,1,53,53
1,Eric Stokes,1,0,0,0
2,Geno Stone,1,0,0,0
3,Ambry Thomas,1,0,0,0
4,Juan Thornhill,1,0,13,13
5,Tavon Young,1,0,0,0
6,Leighton Vander Esch,1,0,7,7
7,Kyle Van Noy,1,1,35,35
8,Nick Vigil,1,1,38,38
9,Bobby Wagner,1,0,3,3
10,Mykal Walker,1,1,66,66
11,Tracy Walker III,1,0,5,5
12,Carlos Watkins,1,1,29,29
13,Tershawn Wharton,1,0,0,0
14,Tre'Davious White,1,0,0,0
15,K'Waun Williams,1,0,4,4
16,Damien Wilson,1,0,1,1
17,Eric Wilson,1,0,7,7
18,Andrew Wingard,1,0,23,23
