,Player,Comb,Asst,Solo,Sck
19,Andrew Dowell,15,6,7,0.0
20,Nick Dzubnar,15,9,5,0.0
21,Ulysees Gilbert,15,4,8,0.0
22,Ta'Quon Graham,15,7,7,0.0
23,Everson Griffen,15,5,9,5.0
24,Elijah Lee,15,4,8,0.0
0,Jessie Lemonier,15,7,8,1.5
1,Ifeatu Melifonwu,15,3,10,0.0
2,Robert Nkemdiche,15,8,4,0.0
3,Obo Okoronkwo,15,6,7,2.0
4,Kyle Phillips,15,9,5,1.0
5,Wyatt Ray,15,10,3,1.0
6,Jamien Sherwood,15,7,8,0.0
7,Grant Stuard,15,7,8,0.0
8,K'Von Wallace,15,3,10,0.0
9,Jordan Willis,15,9,6,3.0
10,Ahkello Witherspoon,15,1,12,0.0
11,A.J. Epenesa,14,6,8,1.5
12,Clelin Ferrell,14,6,8,1.5
13,Jalyn Holmes,14,7,5,0.0
14,Bryce Huff,14,9,4,2.0
15,Margus Hunt,14,8,5,0.0
16,Jaquan Johnson,14,6,5,0.0
17,Tyquan Lewis,14,4,6,2.5
18,Pernell McPhee,14,3,9,1.0
19,Sharrod Neasman,14,2,9,0.0
20,John Penisini,14,10,4,0.0
21,Robert Rochell,14,3,10,0.0
22,Cameron Sample,14,5,5,1.5
23,Julian Stanford,14,6,8,0.0
24,Jahlani Tavai,14,8,3,0.0
0,Derek Watt,14,4,9,0.0
1,Jaire Alexander,13,4,9,0.0
2,Marcus Allen,13,7,5,0.0
3,Brandon Bolden,13,2,10,0.0
4,Keion Crossen,13,5,7,1.0
5,Breiden Fehoko,13,8,4,0.0
6,Neville Gallimore,13,8,4,1.5
7,Joe Gaziano,13,5,6,0.0
8,Thomas Graham Jr.,13,7,6,0.0
9,T.J. Green,13,5,8,0.0
10,Miles Killebrew,13,4,7,0.0
11,Josh Metellus,13,5,8,0.0
12,Ifeadi Odenigbo,13,6,3,0.0
13,J.R. Reed,13,8,5,0.0
14,Tim Settle,13,6,7,0.0
15,Joe Thomas,13,4,6,0.0
16,Kristian Welch,13,10,3,0.0
17,Oshane Ximines,13,9,3,0.0
18,Eli Ankou,12,7,3,1.0
19,Justin Bethel,12,3,7,0.0
20,K.J. Britt,12,5,6,0.0
21,Josiah Bronson,12,4,5,0.0
22,Marqui Christian,12,5,4,0.0
23,Jalen Elliott,12,5,7,0.0
24,Tipa Galeai,12,5,6,1.0
0,Justin Hardee,12,7,4,0.0
1,Jeff Heath,12,2,10,1.0
2,Anthony Levine,12,3,8,0.0
3,Keisean Nixon,12,5,6,0.0
4,Efe Obada,12,4,7,3.5
5,John Reid,12,5,6,0.0
6,Darryl Roberts,12,6,6,0.0
7,Josiah Scott,12,4,7,1.0
8,Josh Tupou,12,9,2,0.0
9,Payton Turner,12,3,8,1.0
10,Josh Uche,12,2,10,3.0
11,Tim Ward,12,7,5,0.0
12,Trae Waynes,12,1,10,0.0
13,Vernon Butler,11,5,3,0.0
14,Luke Gifford,11,3,6,0.0
15,Cam Gill,11,4,7,1.5
16,Penny Hart,11,5,6,0.0
17,Trysten Hill,11,4,7,0.5
18,Mack Hollins,11,2,8,0.0
19,Travis Homer,11,5,6,0.0
20,Marcus Kemp,11,2,9,0.0
21,Rashard Lawrence,11,5,6,0.0
22,Marquel Lee,11,5,5,0.0
23,Lerentee McCray,11,4,5,0.0
24,Steve McLendon,11,4,6,0.5
0,Stanley Morgan,11,3,8,0.0
1,Michael Ojemudia,11,3,8,0.0
2,Isaiah Oliver,11,4,7,0.0
3,Derick Roberson,11,5,4,1.5
4,Richard Sherman,11,0,11,0.0
5,Matthew Slater,11,8,3,0.0
6,Tanner Vallejo,11,4,5,0.5
7,Joe Walker,11,5,4,0.0
8,Chase Winovich,11,5,5,0.0
9,Matthew Adams,10,2,7,0.0
10,Blessuan Austin,10,2,6,0.0
11,Quinton Bohanna,10,7,3,0.0
12,Tre Brown,10,1,8,0.0
13,Terrell Burgess,10,6,4,0.0
14,Marquise Copeland,10,6,4,0.0
15,DeeJay Dallas,10,4,5,0.0
16,Deshazor Everett,10,5,5,0.0
17,C.J. Goodwin,10,3,7,0.0
18,Justin Hamilton,10,4,5,0.0
19,Jonathan Harris,10,3,5,0.0
20,Jamir Jones,10,3,6,0.0
21,Sam Kamara,10,3,7,0.0
22,Brandon King,10,6,3,0.0
23,Greg Mabin,10,1,7,0.0
24,Ty Montgomery,10,3,7,0.0
0,Hamsah Nasirildeen,10,7,3,0.0
1,Kyle Peko,10,3,6,2.0
2,Kevin Pierre-Louis,10,2,8,0.0
3,Jon Rhattigan,10,0,8,0.0
4,Malcolm Roach,10,6,4,0.0
5,Bunmi Rotimi,10,5,4,1.0
6,Andre Smith,10,6,3,0.0
7,Tavon Wilson,10,4,6,0.0
8,Daniel Wise,10,5,5,0.0
9,Isaac Yiadom,10,1,9,0.0
10,Dakota Allen,9,5,3,0.0
11,Marquise Blair,9,4,5,0.0
12,Cameron Brown,9,3,4,0.0
13,Trenton Cannon,9,1,7,0.0
14,Porter Gustin,9,3,4,0.0
15,Nate Hairston,9,3,4,0.0
16,Davontae Harris,9,3,5,0.0
17,Demetrius Harris,9,2,4,0.0
18,Khaleke Hudson,9,5,4,0.0
19,Khalid Kareem,9,4,4,0.0
20,Jovante Moffatt,9,4,4,0.0
21,A.J. Moore,9,2,7,0.0
22,Daviyon Nixon,9,8,1,0.5
23,Will Parks,9,2,7,0.0
24,Elijhaa Penny,9,6,2,0.0
0,Derek Rivers,9,2,6,1.0
1,Keith Smith,9,3,6,0.0
2,Damion Square,9,6,1,0.5
3,Ty Summers,9,1,7,0.0
4,Jacob Tuioti-Mariner,9,4,5,2.0
5,Kemoko Turay,9,3,6,5.5
6,Tylan Wallace,9,5,4,0.0
7,Nahshon Wright,9,2,7,0.0
8,Dicaprio Bootle,8,2,6,0.0
9,Breon Borders,8,1,7,0.0
10,Gary Brightwell,8,6,2,0.0
11,Cethan Carter,8,4,4,0.0
12,L.J. Collier,8,5,1,0.0
13,Isaiah Dunn,8,1,7,0.0
14,Mario Edwards,8,6,2,2.0
15,Tyree Gillespie,8,7,1,0.0
16,Shemar Jean-Charles,8,3,5,0.0
17,Josey Jewell,8,1,7,0.0
18,Caleb Johnson,8,4,4,0.0
19,Javon Kinlaw,8,7,1,0.0
20,Larrell Murchison,8,4,4,0.0
21,Aaron Patrick,8,4,2,0.0
22,Kevin Peterson,8,2,5,0.0
23,Darius Phillips,8,2,6,0.0
24,Sheldrick Redwine,8,3,5,0.0
0,Khalen Saunders,8,6,1,0.0
1,Ben Skowronek,8,2,6,0.0
2,Chris Smith,8,4,3,1.5
3,Elerson G. Smith,8,6,2,0.0
4,Teez Tabor,8,2,6,0.0
5,Deionte Thompson,8,3,4,0.0
6,Shaka Toney,8,6,2,1.5
7,James Vaughters,8,4,3,1.0
8,Justin Zimmer,8,6,1,1.0
9,Mark Andrews,7,1,6,0.0
10,Chris Banjo,7,3,3,0.0
11,Jason Cabinda,7,1,6,0.0
12,Jalen Davis,7,5,2,0.0
13,Clayton Fejedelem,7,2,5,0.0
14,Darrick Forrest,7,3,4,0.0
15,Kemon Hall,7,3,4,0.0
16,Josh Harris,7,4,3,0.0
17,Trent Harris,7,4,3,0.0
18,Mike Hoecht,7,1,4,0.0
19,Godwin Igwebuike,7,3,4,0.0
20,Bruce Irvin,7,5,2,0.0
21,Justin Jackson,7,1,6,0.0
22,Chris Jones,7,2,4,0.0
23,Patrick Jones II,7,3,4,0.0
24,Dre Kirkpatrick,7,1,6,0.0
0,Cam Lewis,7,4,3,0.0
1,Dorian O'Daniel,7,3,4,0.0
2,Dare Ogunbowale,7,1,4,0.0
3,Gunner Olszewski,7,4,3,0.0
4,Giovanni Ricci,7,2,5,0.0
5,Benny Snell,7,4,3,0.0
6,Equanimeous St. Brown,7,2,4,0.0
7,Stantley Thomas-Oliver,7,4,2,0.0
8,Dwayne Washington,7,1,6,0.0
9,Charlie Woerner,7,1,6,0.0
10,Daryl Worley,7,2,5,0.0
11,Brandon Zylstra,7,3,4,0.0
12,Stephen Anderson,6,1,4,0.0
13,Troy Apke,6,1,4,0.0
14,Daren Bates,6,2,4,0.0
15,Brady Breeze,6,1,5,0.0
16,Austin Calitro,6,2,4,0.0
17,Maurice Canady,6,2,3,0.0
18,Anthony Chesley,6,0,6,0.0
19,Carter Coughlin,6,4,2,0.0
20,Darrell Daniels,6,3,3,0.0
21,Jaylon Ferguson,6,3,2,0.0
22,Mike Ford,6,0,5,0.0
23,Jordan Glasgow,6,2,2,0.0
24,Noah Igbinoghene,6,0,6,0.0
0,Joe Jones,6,4,2,0.0
1,Taiwan Jones,6,2,2,0.0
2,Zach Kerr,6,4,2,0.0
3,Chris Lammons,6,3,3,0.0
4,P.J. Locke,6,1,4,0.0
5,Cassius Marsh,6,2,3,1.0
6,Jared Mayden,6,2,4,0.0
7,D.J. Moore,6,1,5,0.0
8,Dayo Odeyingbo,6,1,3,0.5
9,Romeo Okwara,6,3,3,1.0
10,Steven Parker,6,2,3,0.0
11,Samaje Perine,6,0,6,0.0
12,Curtis Robinson,6,3,3,0.0
13,John Simon,6,2,3,0.0
14,Cam Sims,6,2,4,0.0
15,Tye Smith,6,1,5,0.0
16,Noah Spence,6,2,3,0.0
17,Kevin Strong,6,2,4,0.0
18,Nsimba Webster,6,1,2,0.0
19,Damien Williams,6,2,4,0.0
20,Brandon Wilson,6,3,3,0.0
21,Myles Adams,5,5,0,0.0
22,Tyson Alualu,5,3,2,0.0
23,J.J. Arcega-Whiteside,5,1,4,0.0
24,Will Bradley-King,5,5,0,0.5
0,Michael Burton,5,3,1,0.0
1,Mike Daniels,5,0,4,0.0
2,Carlos Davis,5,2,1,0.0
3,Tyler Davis,5,1,4,0.0
4,Michael Dwumfour,5,2,2,0.5
5,Daniel Ekuale,5,1,4,2.0
6,Corn Elder,5,0,3,0.0
7,Jordan Evans,5,2,3,0.0
8,Sharif Finch,5,5,0,0.0
9,Dee Ford,5,2,3,3.0
10,Harrison Hand,5,0,5,0.0
11,JaMycal Hasty,5,0,5,0.0
12,Bruce Hector,5,2,0,0.0
13,KhaDarel Hodge,5,0,4,0.0
14,Jaycee Horn,5,2,3,0.0
15,JuJu Hughes,5,1,4,0.0
16,Jake Kumerow,5,0,4,0.0
17,Bradley McDougald,5,2,3,0.0
18,Racey McMath,5,4,1,0.0
19,Herb Miller,5,1,4,0.0
20,Darnell Mooney,5,0,5,0.0
21,Chris Moore,5,3,2,0.0
22,Elijah Moore,5,0,5,0.0
23,Tony Pollard,5,1,4,0.0
24,Ryan Smith,5,1,4,0.0
0,Eric Tomlinson,5,0,4,0.0
1,Marlon Tuipulotu,5,4,1,0.0
2,Jason Verrett,5,2,3,0.0
3,Jonathan Ward,5,2,3,0.0
4,Jonah Williams,5,4,0,0.0
5,Chris Williamson,5,1,4,0.0
6,Antwaun Woods,5,3,2,0.0
7,Olamide Zaccheaus,5,1,3,0.0
8,,5,0,5,0.0
9,Tyrell Adams,4,0,4,0.0
10,McTelvin Agim,4,2,2,1.5
11,Alex Armah,4,2,2,0.0
12,Damon Arnette,4,2,2,0.0
13,Francis Bernard,4,3,1,0.0
14,Christian Blake,4,0,4,0.0
15,Jacob Bobenmoyer,4,2,1,0.0
16,Tashawn Bower,4,2,2,1.0
17,A.J. Brown,4,0,4,0.0
18,Corey Clement,4,0,4,0.0
19,Tyrie Cleveland,4,1,3,0.0
20,Andrew DePaola,4,2,2,0.0
21,Chris Evans,4,0,4,0.0
22,Caleb Farley,4,0,4,0.0
23,Demetric Felton,4,2,2,0.0
24,Tony Fields II,4,2,2,0.0
0,Cullen Gillaspia,4,2,2,0.0
1,Ryan Griffin,4,1,3,0.0
2,De'Jon Harris,4,0,3,1.0
3,Trayvon Henderson,4,2,0,0.0
4,J.P. Holtz,4,2,1,0.0
5,Phil Hoskins,4,1,3,1.0
6,Braxton Hoyett,4,2,2,0.0
7,Alec Ingold,4,2,2,0.0
8,Joel Iyiegbuniwe,4,0,4,0.0
9,Josh Jackson,4,3,1,0.0
10,Raymond Johnson III,4,1,2,1.0
11,Zay Jones,4,1,3,0.0
12,Jordan Kunaszyk,4,1,3,0.0
13,Kahlil McKenzie,4,3,1,0.0
14,Terry McLaurin,4,0,4,0.0
15,Forrest Merrill,4,2,2,0.0
16,Andre Mintze,4,2,1,0.0
17,Nick Moore,4,0,3,0.0
18,Foster Moreau,4,1,3,0.0
19,Tanner Muse,4,2,2,0.0
20,Jason Myers,4,1,3,0.0
21,Kai Nacua,4,1,3,0.0
22,Pat O'Connor,4,2,2,0.5
23,Jeff Okudah,4,1,3,0.0
24,Josh Oliver,4,2,2,0.0
0,Kareem Orr,4,1,3,0.0
1,Nickell Robey-Coleman,4,1,1,0.0
2,Rashard Robinson,4,1,3,0.0
3,Patrick Scales,4,2,1,0.0
4,Kendall Sheffield,4,2,2,0.0
5,Tyler Shelvin,4,3,1,0.0
6,Trent Sherfield,4,0,4,0.0
7,Zeke Turner,4,1,3,0.0
8,Jaylen Waddle,4,0,4,0.0
9,Trevon Wesco,4,1,3,0.0
10,Cody White,4,2,2,0.0
11,Kevin White,4,3,1,0.0
12,Chris Williams,4,2,2,0.0
13,,4,0,4,0.0
14,Mo Alie-Cox,3,1,2,0.0
15,Henry Anderson,3,0,3,0.0
16,Rashod Berry,3,1,2,0.0
17,Curtis Bolton,3,1,2,0.0
18,Devontae Booker,3,0,3,0.0
19,Ja'Marcus Bradley,3,1,2,0.0
20,Antoine Brooks Jr.,3,1,2,0.0
21,Daniel Brunskill,3,0,3,0.0
22,Harrison Bryant,3,2,1,0.0
23,Derek Carrier,3,0,2,0.0
24,Blake Cashman,3,0,3,0.0
0,Ja'Marr Chase,3,1,2,0.0
1,Dan Chisena,3,1,2,0.0
2,Ryan Connelly,3,1,2,0.0
3,Austin Corbett,3,0,3,0.0
4,Nathan Cottrell,3,1,2,0.0
5,River Cracraft,3,1,2,0.0
6,Ken Crawley,3,0,3,0.0
7,Dominique Dafney,3,1,1,0.0
8,Darqueze Dennard,3,1,1,0.0
9,Stefon Diggs,3,0,3,0.0
10,Victor Dimukeje,3,3,0,0.0
11,Myles Dorn,3,2,1,0.0
12,Christian Elliss,3,1,2,0.0
13,Blake Ferguson,3,1,2,0.0
14,Mark Gilbert,3,1,2,0.0
15,Jamie Gillan,3,1,2,0.0
16,Reggie Gilliam,3,2,1,0.0
17,Ladarius Hamilton,3,1,2,0.0
18,Najee Harris,3,0,3,0.0
19,Khalil Herbert,3,2,1,0.0
20,Tee Higgins,3,0,3,0.0
21,Dontrell Hilliard,3,1,2,0.0
22,Dustin Hopkins,3,2,1,0.0
23,Robert Jackson,3,2,1,0.0
24,Ty Johnson,3,1,2,0.0
0,Keandre Jones,3,2,1,0.0
1,Kyle Juszczyk,3,2,1,0.0
2,Azur Kamara,3,1,2,0.0
3,Ryan Kerrigan,3,0,2,0.0
4,Younghoe Koo,3,1,2,0.0
5,Malcolm Koonce,3,1,2,2.0
6,Tyler Kroft,3,0,3,0.0
7,Harvey Langi,3,2,0,0.0
8,Richard LeCounte III,3,1,2,0.0
9,Isaiah Mack,3,2,1,1.0
10,Ledarius Mack,3,2,1,0.0
11,Cameron Malveaux,3,3,0,0.0
12,Josh Mauro,3,2,1,1.0
13,Mac McCain III,3,2,0,0.0
14,Connor McGovern,3,0,3,0.0
15,Jerick McKinnon,3,0,3,0.0
16,David Moa,3,2,1,0.0
17,Calvin Munson,3,1,1,0.0
18,Jared Norris,3,1,1,0.0
19,Brandon Parker,3,1,2,0.0
20,Kyle Pitts,3,0,3,0.0
21,Kevin Rader,3,1,2,0.0
22,Jalen Reagor,3,0,3,0.0
23,James Robinson,3,1,2,0.0
24,Amari Rodgers,3,0,3,0.0
0,D'Angelo Ross,3,1,2,0.0
1,Christian Rozeboom,3,0,3,0.0
2,Rigoberto Sanchez,3,1,2,0.0
3,Sterling Shepard,3,0,3,0.0
4,Darius Slayton,3,0,3,0.0
5,T.J. Smith,3,2,1,0.0
6,Tre'Quan Smith,3,0,3,0.0
7,JaCoby Stevens,3,2,1,0.0
8,Connor Strachan,3,3,0,0.0
9,Geoff Swaim,3,1,2,0.0
10,Ryan Tannehill,3,1,2,0.0
11,Andrew Thomas,3,0,3,0.0
12,Mike Thomas,3,1,2,0.0
13,Darian Thompson,3,0,3,0.0
14,Tommy Tremble,3,1,2,0.0
15,Zach Triner,3,0,2,0.0
16,Brent Urban,3,3,0,0.0
17,Dee Virgin,3,1,2,0.0
18,Charles Washington,3,0,3,0.0
19,Quez Watkins,3,2,1,0.0
20,Mark Webb,3,0,3,0.0
21,Nick Westbrook-Ikhine,3,2,1,0.0
22,Jace Whittaker,3,1,2,0.0
23,Mitchell Wilcox,3,2,1,0.0
24,Rachad Wildgoose,3,2,1,0.0
0,Darrel Williams,3,0,3,0.0
1,Marvin Wilson,3,2,1,0.0
2,Mitch Wishnowsky,3,0,3,0.0
3,Jabari Zuniga,3,2,1,1.0
4,Freedom Akinmoladun,2,0,1,0.0
5,Josh Allen,2,0,2,0.0
6,Keenan Allen,2,0,2,0.0
7,Bradlee Anae,2,0,2,0.0
8,Abdullah Anderson,2,1,1,0.0
9,Daniel Archibong,2,2,0,0.0
10,Jeremiah Attaochu,2,1,1,0.0
11,Tavon Austin,2,0,2,0.0
12,Ben Banogu,2,1,1,0.0
13,John Bates,2,0,1,0.0
14,Odell Beckham Jr.,2,0,2,0.0
15,Vince Biegel,2,1,1,0.0
16,Khari Blasingame,2,0,2,0.0
17,C.J. Board,2,2,0,0.0
18,Mike Boone,2,1,1,0.0
19,Bradley Bozeman,2,0,2,0.0
20,Matt Breida,2,1,1,0.0
21,Aaron Brewer,2,0,0,0.0
22,Daniel Brown,2,1,1,0.0
23,Dyami Brown,2,1,1,0.0
24,Noah Brown,2,2,0,0.0
0,Brandin Bryant,2,0,2,0.0
1,Rex Burkhead,2,0,2,0.0
2,Joe Burrow,2,0,2,0.0
3,Elijah Campbell,2,0,1,0.0
4,DeAndre Carter,2,0,2,0.0
5,Tory Carter,2,0,1,0.0
6,Ezra Cleveland,2,0,2,0.0
7,Keelan Cole,2,0,2,0.0
8,Tevin Coleman,2,1,1,0.0
9,John Cominsky,2,0,2,0.0
10,Logan Cooke,2,1,1,0.0
11,Pharoh Cooper,2,2,0,0.0
12,Jabril Cox,2,0,1,0.0
13,Tyler Coyle,2,1,0,0.0
14,Jake Curhan,2,0,2,0.0
15,Andy Dalton,2,1,1,0.0
16,Javaris Davis,2,0,2,0.0
17,Noah Dawkins,2,1,1,0.0
18,Nate Ebner,2,0,1,0.0
19,Chase Edmonds,2,1,1,0.0
20,Emeke Egbule,2,1,1,0.0
21,Ben Ellefson,2,2,0,0.0
22,Mike Evans,2,0,2,0.0
23,George Fant,2,0,2,0.0
24,Noah Fant,2,0,2,0.0
0,Austin Faoliu,2,0,2,0.0
1,Kylie Fitts,2,0,1,0.0
2,Royce Freeman,2,0,1,0.0
3,Jake Funk,2,1,1,0.0
4,Jake Gervase,2,1,1,0.0
5,Mike Gesicki,2,0,2,0.0
6,Joe Giles-Harris,2,1,1,0.0
7,Kenny Golladay,2,0,2,0.0
8,Tay Gowan,2,1,0,0.0
9,Brandon Graham,2,0,2,0.0
10,Noah Gray,2,2,0,0.0
11,Kendrick Green,2,0,2,0.0
12,Garrett Griffin,2,1,1,0.0
13,Woodrow Hamilton,2,2,0,0.0
14,Damar Hamlin,2,0,1,0.0
15,Da'Shawn Hand,2,1,1,0.0
16,Mecole Hardman,2,0,2,0.0
17,Deonte Harty,2,0,2,0.0
18,Tim Harris,2,1,1,0.0
19,Thomas Hennessy,2,2,0,0.0
20,Taysom Hill,2,1,1,0.0
21,Tyreek Hill,2,0,2,0.0
22,T.J. Hockenson,2,0,2,0.0
23,Jacob Hollister,2,1,1,0.0
24,Austin Hooper,2,0,2,0.0
0,Jesper Horsted,2,1,1,0.0
1,Buddy Howell,2,0,2,0.0
2,Adam Humphries,2,1,0,0.0
3,Maurice Hurst,2,0,0,0.0
4,Mark Ingram,2,0,2,0.0
5,Andy Isabella,2,1,1,0.0
6,Mike Jackson,2,1,1,0.0
7,Austin Jackson,2,1,1,0.0
8,DeSean Jackson,2,1,1,0.0
9,Jonah Jackson,2,0,2,0.0
10,Andy Janovich,2,0,2,0.0
11,Elgton Jenkins,2,0,2,0.0
12,Ryan Jensen,2,0,2,0.0
13,Buddy Johnson,2,0,2,0.0
14,Jakob Johnson,2,1,1,0.0
15,Tyron Johnson,2,0,2,0.0
16,Mac Jones,2,1,1,0.0
17,Julio Jones,2,0,2,0.0
18,Mike Jordan,2,0,2,0.0
19,Karl Joseph,2,1,1,0.0
20,George Kittle,2,0,2,0.0
21,Dawson Knox,2,0,2,0.0
22,Christian Kuntz,2,0,2,0.0
23,CeeDee Lamb,2,0,2,0.0
24,Trevor Lawrence,2,0,2,0.0
0,Allen Lazard,2,0,2,0.0
1,Brandon Linder,2,1,1,0.0
2,Rick Lovato,2,0,2,0.0
3,Jordan Mailata,2,2,0,0.0
4,Ali Marpet,2,1,1,0.0
5,Jonathan Marshall,2,1,1,0.0
6,Kamal Martin,2,0,2,0.0
7,Ross Matiscik,2,0,2,0.0
8,Ray-Ray McCloud,2,0,2,0.0
9,Isaiah McDuffie,2,2,0,0.0
10,Jakobi Meyers,2,0,2,0.0
11,Scott Miller,2,0,2,0.0
12,Jimmy Moreland,2,2,0,0.0
13,Gabe Nabers,2,1,1,0.0
14,Ryan Nall,2,0,2,0.0
15,Dazz Newsome,2,1,1,0.0
16,Lucas Niang,2,0,2,0.0
17,Hardy Nickerson,2,0,2,0.0
18,David Njoku,2,0,2,0.0
19,Mark Nzeocha,2,1,1,0.0
20,Qadree Ollison,2,1,1,0.0
21,K.J. Osborn,2,0,2,0.0
22,Matt Overton,2,0,2,0.0
23,Josh Palmer,2,0,2,0.0
24,DeVante Parker,2,0,2,0.0
0,Zach Pascal,2,0,1,0.0
1,Donovan Peoples-Jones,2,0,2,0.0
2,Michael Pittman,2,1,1,0.0
3,MyCole Pruitt,2,2,0,0.0
4,David Quessenberry,2,0,2,0.0
5,Riley Reiff,2,1,1,0.0
6,Hunter Renfrow,2,0,2,0.0
7,Sammis Reyes,2,2,0,0.0
8,Josh Reynolds,2,0,2,0.0
9,Jordan Richards,2,2,0,0.0
10,Chauncey Rivers,2,0,2,0.0
11,Allen Robinson,2,0,2,0.0
12,Richard Rodgers,2,0,2,0.0
13,Larry Rountree III,2,2,0,0.0
14,Drew Sample,2,1,1,0.0
15,Eric Saubert,2,0,2,0.0
16,Anthony Schwartz,2,0,2,0.0
17,Boston Scott,2,1,1,0.0
18,Trey Sermon,2,1,0,0.0
19,Laviska Shenault Jr.,2,0,2,0.0
20,Joey Slye,2,1,1,0.0
21,Kaden Smith,2,0,2,0.0
22,DeVonta Smith,2,0,2,0.0
23,Durham Smythe,2,1,1,0.0
24,Nate Solder,2,0,2,0.0
0,Jeremy Sprinkle,2,0,2,0.0
1,Luke Stocker,2,0,2,0.0
2,Jack Stoll,2,1,1,0.0
3,Malik Taylor,2,1,0,0.0
4,Vincent Taylor,2,1,1,0.0
5,Noah Togiai,2,1,1,0.0
6,Laquon Treadwell,2,1,1,0.0
7,Jay Tufele,2,1,1,0.0
8,Kary Vincent Jr.,2,0,2,0.0
9,Tress Way,2,0,2,0.0
10,Rashad Weaver,2,2,0,0.0
11,Jon Weeks,2,1,1,0.0
12,Trayveon Williams,2,1,1,0.0
13,Jonathan Williams,2,1,1,0.0
14,Raequan Williams,2,1,1,0.0
15,Jomal Wiltz,2,0,1,0.0
16,Brock Wright,2,1,1,0.0
17,Kevin Zeitler,2,2,0,0.0
18,Davante Adams,1,0,1,0.0
19,Nelson Agholor,1,0,1,0.0
20,Salvon Ahmed,1,0,1,0.0
21,Landen Akers,1,1,0,0.0
22,Jordan Akins,1,0,1,0.0
23,Danny Amendola,1,0,1,0.0
24,Robbie Anderson,1,0,1,0.0
0,Zayne Anderson,1,0,1,0.0
1,Terron Armstead,1,0,1,0.0
2,Grayland Arnold,1,1,0,0.0
3,Antony Auclair,1,0,1,0.0
4,Alex Bachman,1,0,1,0.0
5,Kawaan Baker,1,0,1,0.0
6,Kalen Ballage,1,0,1,0.0
7,Eric Banks,1,1,0,0.0
8,Tyler Bass,1,0,1,0.0
9,Essang Bassey,1,0,1,0.0
10,Sam Beal,1,0,1,0.0
11,Andrew Beck,1,0,1,0.0
12,Eno Benjamin,1,1,0,0.0
13,Travis Benjamin,1,0,1,0.0
14,Trinity Benson,1,0,1,0.0
15,Giovani Bernard,1,0,1,0.0
16,Andrew Billings,1,1,0,0.0
17,Amani Bledsoe,1,0,1,0.0
18,Ike Boettger,1,0,1,0.0
19,Corey Bojorquez,1,0,1,0.0
20,Tyler Boyd,1,0,1,0.0
21,Garrett Bradbury,1,1,0,0.0
22,Cameron Brate,1,0,1,0.0
23,Justin Britt,1,0,1,0.0
24,Andrew Brown,1,0,0,0.0
0,Marquise Brown,1,0,1,0.0
1,Pharaoh Brown,1,0,1,0.0
2,Spencer Brown,1,0,1,0.0
3,Bobby Brown III,1,1,0,0.0
4,Yodny Cajuste,1,0,1,0.0
5,Joe Cardona,1,0,1,0.0
6,Michael Carter,1,1,0,0.0
7,Joseph Charlton,1,0,1,0.0
8,Brady Christensen,1,0,1,0.0
9,Geron Christian,1,0,1,0.0
10,Cole Christiansen,1,0,1,0.0
11,Nick Chubb,1,0,1,0.0
12,Matt Cole,1,1,0,0.0
13,A.J. Cole,1,0,1,0.0
14,La'el Collins,1,0,1,0.0
15,Nico Collins,1,0,1,0.0
16,Trystan Colon,1,0,1,0.0
17,Tom Compton,1,0,1,0.0
18,Will Compton,1,1,0,0.0
19,Jack Conklin,1,0,1,0.0
20,Chris Conley,1,1,0,0.0
21,James Conner,1,0,1,0.0
22,Jared Cook,1,0,1,0.0
23,Brandin Cooks,1,0,1,0.0
24,Doug Costin,1,0,0,0.0
0,Kirk Cousins,1,0,1,0.0
1,Morgan Cox,1,0,0,0.0
2,Mason Crosby,1,0,1,0.0
3,Jamison Crowder,1,0,1,0.0
4,Dennis Daley,1,1,0,0.0
5,Scott Daly,1,1,0,0.0
6,James Daniels,1,0,1,0.0
7,Frank Darby,1,1,0,0.0
8,Julie'n Davenport,1,0,1,0.0
9,Gabe Davis,1,0,1,0.0
10,Nate Davis,1,0,1,0.0
11,Mike Davis,1,0,1,0.0
12,Shawn Davis,1,1,0,0.0
13,Dion Dawkins,1,0,1,0.0
14,Josiah Deguara,1,0,1,0.0
15,AJ Dillon,1,0,1,0.0
16,Will Dissly,1,0,1,0.0
17,Riley Dixon,1,0,1,0.0
18,Phillip Dorsett,1,1,0,0.0
19,Greg Dortch,1,0,1,0.0
20,Ross Dwelley,1,0,1,0.0
21,Bryan Edwards,1,1,0,0.0
22,David Edwards,1,0,1,0.0
23,Pat Elflein,1,0,1,0.0
24,Emmanuel Ellerbee,1,0,1,0.0
0,Ezekiel Elliott,1,0,1,0.0
1,Evan Engram,1,0,1,0.0
2,Alex Erickson,1,0,1,0.0
3,Dorian Etheridge,1,1,0,0.0
4,Matt Feiler,1,0,1,0.0
5,Reid Ferguson,1,0,0,0.0
6,Anthony Firkser,1,0,1,0.0
7,Dez Fitzpatrick,1,0,1,0.0
8,Cody Ford,1,0,1,0.0
9,Isaiah Ford,1,0,1,0.0
10,Miller Forristall,1,1,0,0.0
11,Daurice Fountain,1,0,1,0.0
12,Leonard Fournette,1,1,0,0.0
13,Devonta Freeman,1,0,1,0.0
14,Pat Freiermuth,1,0,1,0.0
15,Maurice Ffrench,1,1,0,0.0
16,Russell Gage,1,0,1,0.0
17,Innis Gaines,1,1,0,0.0
18,Matt Gay,1,0,1,0.0
19,Zach Gentry,1,0,1,0.0
