,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
0,Kene Nwangwu,32.2,18,579,2,14,3,99,0,0
1,Andy Isabella,31.0,1,31,0,1,0,31,0,0
2,Braxton Berrios,30.4,28,852,1,24,3,102,0,0
3,Ty Montgomery,29.5,2,59,0,2,0,33,0,0
4,Chris Evans,29.0,2,58,0,2,0,29,0,0
5,Tevin Coleman,28.8,11,317,0,8,1,65,0,0
6,Tony Pollard,28.8,17,489,1,13,2,100,0,0
7,Alex Erickson,28.5,2,57,0,1,0,39,0,0
8,Jason Huntley,28.0,3,84,0,3,0,35,0,0
9,Andre Roberts,27.3,37,1010,1,23,4,101,0,1
10,Matt Breida,27.0,1,27,0,1,0,27,0,0
11,D'Wayne Eskridge,27.0,2,54,0,2,0,27,0,0
12,Desmond King,27.0,1,27,0,1,0,27,0,0
13,Artavis Pierce,27.0,1,27,0,1,0,27,0,0
14,Isaiah Rodgers,26.4,19,501,0,13,4,72,0,0
15,Brandon Powell,26.0,8,208,0,4,1,65,0,0
16,Byron Pringle,25.9,24,621,0,20,0,39,0,0
17,Ashton Dulin,25.8,8,206,0,7,0,31,0,0
18,Tremon Smith,25.6,21,537,1,13,2,98,0,0
19,DeAndre Carter,25.1,36,904,1,25,1,101,0,1
20,Mike Hughes,25.0,1,25,0,1,0,25,0,0
21,Deebo Samuel,25.0,3,75,0,2,0,33,0,0
22,J.J. Taylor,25.0,1,25,0,1,0,25,0,0
23,Godwin Igwebuike,24.9,28,697,0,21,2,47,0,1
24,C.J. Board,24.8,11,273,0,9,0,38,0,1
0,Peyton Barber,24.5,2,49,0,2,0,25,0,0
1,Ja'Marcus Bradley,24.5,2,49,0,2,0,25,0,0
2,Anthony McFarland,24.3,3,73,0,3,0,25,0,0
3,Isaiah McKenzie,24.3,24,584,0,15,2,75,0,1
4,Malik Taylor,24.2,4,97,0,3,0,32,0,1
5,Devin Duvernay,24.1,28,676,0,23,1,47,0,0
6,Cordarrelle Patterson,24.1,18,434,0,15,0,32,0,0
7,Khalil Herbert,24.1,27,650,0,16,3,50,0,0
8,Shi Smith,24.0,1,24,0,1,0,24,0,0
9,Jamal Agnew,23.9,22,525,1,13,1,102,0,0
10,Deonte Harty,23.8,29,690,0,20,0,39,0,0
11,Marquez Stevenson,23.6,7,165,0,5,0,31,0,0
12,Alex Bachman,23.5,4,94,0,4,0,27,0,0
13,Corey Ballentine,23.5,4,94,0,4,0,26,0,0
14,Jakeem Grant,23.4,23,539,0,15,0,34,0,0
15,Jaydon Mickens,23.2,13,302,0,9,1,41,0,0
16,D'Ernest Johnson,23.2,6,139,0,6,0,29,0,0
17,DeeJay Dallas,23.2,33,764,0,25,1,40,0,1
18,Eno Benjamin,23.1,7,162,0,5,0,29,0,0
19,Gunner Olszewski,23.1,18,416,0,14,0,37,0,1
20,Tommylee Lewis,23.0,1,23,0,1,0,23,0,0
21,Sony Michel,22.5,4,90,0,3,0,28,0,1
22,Rondale Moore,22.4,13,291,0,10,0,32,0,0
23,Brandon Wilson,22.4,13,291,0,8,1,44,0,1
24,Tyron Johnson,22.3,7,156,0,4,0,34,0,1
0,Ameer Abdullah,22.3,29,646,0,20,1,45,0,0
1,Tom Kennedy,22.2,4,89,0,3,0,28,0,0
2,Ray-Ray McCloud,22.2,35,776,0,19,1,40,0,0
3,Dontrell Hilliard,22.1,8,177,0,7,0,26,0,0
