,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
4,Michael Bandy,22.0,4,88,0,3,0,27,0,0
5,Jake Funk,22.0,4,88,0,3,0,28,0,0
6,Anthony Schwartz,21.5,15,322,0,8,0,35,0,0
7,JoJo Natson,21.4,5,107,0,3,0,28,0,0
8,Avery Williams,21.3,23,490,0,14,0,38,0,1
9,Jalen Reagor,21.2,12,255,0,7,1,44,0,0
10,Darius Phillips,21.1,8,169,0,4,0,32,0,0
11,Chuba Hubbard,21.0,1,21,0,1,0,21,0,0
12,Tommy Tremble,21.0,1,21,0,1,0,21,0,0
13,Ihmir Smith-Marsette,20.8,4,83,0,3,0,24,0,0
14,Brandon Bolden,20.7,3,62,0,2,0,25,0,0
15,Jalen Richard,20.6,11,227,0,6,0,32,0,0
16,Trenton Cannon,20.5,16,328,0,9,1,68,0,2
17,Chester Rogers,20.1,14,282,0,5,0,37,0,0
18,M.J. Stewart,20.0,1,20,0,1,0,20,0,0
19,Jaelon Darden,19.9,18,359,0,7,0,34,0,0
20,Kylin Hill,19.9,10,199,0,4,1,41,0,1
21,Marcus Johnson,19.9,9,179,0,6,0,31,0,1
22,Greg Dortch,19.8,4,79,0,2,0,31,0,0
23,Keelan Cole,19.6,7,137,0,4,0,26,0,0
24,Corey Clement,19.6,11,215,0,7,0,29,0,1
0,Tylan Wallace,19.5,2,39,0,1,0,24,0,0
1,Darnay Holmes,19.4,5,97,0,3,0,23,0,1
2,Kenyan Drake,19.2,10,192,0,4,0,31,0,0
3,Demetric Felton,19.1,9,172,0,4,0,28,0,0
4,Ty Johnson,19.0,3,57,0,1,0,26,0,0
5,Scott Miller,19.0,1,19,0,0,0,19,0,0
6,D.J. Reed,19.0,1,19,0,0,0,19,0,0
7,Dwayne Washington,18.7,3,56,0,1,0,21,0,0
8,JaMycal Hasty,18.1,8,145,0,4,0,28,0,1
9,Amari Rodgers,18.1,11,199,0,5,0,27,0,0
10,Phillip Lindsay,18.0,4,72,0,1,0,20,0,0
11,Alexander Mattison,18.0,1,18,0,0,0,18,0,0
12,J.J. Koski,17.8,5,89,0,1,0,26,0,1
13,Giovani Bernard,17.7,3,53,0,0,0,19,0,0
14,Chris Claybrooks,17.6,5,88,0,2,0,25,0,0
15,Jaylen Waddle,17.6,9,158,0,3,0,25,0,0
16,Nyheim Hines,17.5,4,70,0,1,0,20,0,0
17,Henry Ruggs III,17.5,4,70,0,2,0,22,0,0
18,Ben Skowronek,17.5,4,70,0,0,0,19,0,0
19,Ambry Thomas,17.5,4,70,0,0,0,19,0,0
20,Tutu Atwell,17.4,5,87,0,2,0,25,0,0
21,Pooka Williams Jr.,17.3,3,52,0,1,0,25,0,0
22,Pharoh Cooper,17.2,12,207,0,4,0,26,0,1
23,Quez Watkins,17.2,8,138,0,4,0,24,0,1
24,Kenneth Gainwell,17.1,8,137,0,4,0,31,0,0
0,Diontae Spencer,17.1,17,291,0,4,0,26,0,1
1,Darrynton Evans,17.0,1,17,0,0,0,17,0,0
2,Maurice Ffrench,17.0,1,17,0,0,0,17,0,0
3,Buddy Howell,17.0,2,34,0,0,0,19,0,0
4,Equanimeous St. Brown,17.0,1,17,0,0,0,17,0,0
5,Trent Taylor,17.0,4,68,0,3,0,25,0,0
6,Jordan Wilkins,17.0,1,17,0,0,0,17,0,0
7,Larry Rountree III,16.7,7,117,0,2,0,24,0,0
8,K.J. Hill,16.7,3,50,0,0,0,18,0,0
9,Nasir Adderley,16.0,3,48,0,0,0,19,0,0
10,Cameron Batson,16.0,5,80,0,1,0,20,0,0
11,Jalen Guyton,16.0,2,32,0,1,0,22,0,0
12,Jonathan Ward,16.0,1,16,0,0,0,16,0,0
13,Jeremy McNichols,15.5,2,31,0,0,0,16,0,0
14,Danny Amendola,15.0,1,15,0,0,0,15,0,0
15,JaQuan Hardy,15.0,1,15,0,0,0,15,0,0
16,Ke'Shawn Vaughn,15.0,1,15,0,0,0,15,0,0
17,Travis Homer,14.7,3,44,1,1,1,44,0,0
18,Myles Gaskin,14.5,2,29,0,0,0,16,0,1
19,Alex Armah,14.0,2,28,0,0,0,17,0,0
20,Jakob Johnson,14.0,1,14,0,0,0,14,0,0
21,Taiwan Jones,14.0,1,14,0,0,0,14,0,0
22,Zach Pascal,14.0,1,14,0,0,0,14,0,0
23,Olamide Zaccheaus,13.7,3,41,0,1,0,24,0,0
24,Devin McCourty,13.5,2,27,0,0,0,18,0,0
0,Dan Arnold,13.0,1,13,0,0,0,13,0,0
1,Demetrius Harris,13.0,2,26,0,0,0,14,0,0
2,D.J. Moore,13.0,1,13,0,0,0,13,0,0
3,Colby Parkinson,13.0,1,13,0,0,0,13,0,0
4,Boston Scott,13.0,1,13,0,0,0,13,0,0
5,Keith Smith,13.0,2,26,0,0,0,16,0,0
6,Travis Benjamin,12.0,2,24,0,0,0,12,0,0
7,Khari Blasingame,12.0,1,12,0,0,0,12,0,0
8,John Ross,12.0,1,12,0,0,0,12,0,0
9,Mecole Hardman,11.7,3,35,0,1,0,20,0,0
10,Antony Auclair,11.0,1,11,0,0,0,11,0,0
11,Stanley Morgan,11.0,2,22,0,0,0,18,0,1
12,James Proche,11.0,2,22,0,1,0,22,0,1
13,Michael Burton,10.5,2,21,0,0,0,12,0,0
14,Tyler Johnson,10.0,1,10,0,0,0,10,0,0
15,Darnell Mooney,10.0,1,10,0,0,0,10,0,0
16,Andy Janovich,9.5,2,19,0,0,0,13,0,0
17,Aaron Jones,9.5,2,19,0,0,0,10,0,0
18,Daren Bates,8.0,1,8,0,0,0,8,0,0
19,Ryan Griffin,8.0,1,8,0,0,0,8,0,0
20,Wayne Gallman,7.0,1,7,0,0,0,7,0,0
21,Cyril Grayson,7.0,1,7,0,0,0,7,0,0
22,Cooper Kupp,6.7,3,20,0,0,0,12,0,0
23,Darrell Daniels,6.0,1,6,0,0,0,6,0,0
24,Tony Jones,5.0,1,5,0,0,0,5,0,0
0,Alec Ingold,4.0,1,4,0,0,0,4,0,0
1,JuJu Smith-Schuster,3.0,1,3,0,0,0,3,0,0
2,Greg Ward,3.0,1,3,0,0,0,3,0,0
3,Germaine Pratt,2.0,1,2,0,0,0,2,0,0
4,Albert Wilson,2.0,1,2,0,0,0,2,0,0
5,Ross Dwelley,1.0,1,1,0,0,0,1,0,0
6,Adrian Amos,0.0,1,0,0,0,0,0,0,0
7,Robbie Anderson,0.0,1,0,0,0,0,0,0,0
8,Francis Bernard,0.0,1,0,0,0,0,0,0,0
9,Jordyn Brooks,0.0,1,0,0,0,0,0,0,0
10,Rex Burkhead,0.0,1,0,0,0,0,0,0,0
11,Sean Chandler,0.0,1,0,0,0,0,0,0,0
12,Jabril Cox,0.0,1,0,0,0,0,0,0,0
13,AJ Dillon,0.0,1,0,0,0,0,0,0,0
14,Jack Doyle,0.0,2,0,0,0,0,0,0,0
15,Minkah Fitzpatrick,0.0,1,0,0,0,0,0,0,0
16,Jonathan Garvin,0.0,1,0,0,0,0,0,0,0
17,Dallas Goedert,0.0,2,0,0,0,0,0,0,0
18,A.J. Green,0.0,1,0,0,0,0,0,0,0
19,Hunter Henry,0.0,1,0,0,0,0,0,0,0
20,Tyler Higbee,0.0,1,0,0,0,0,0,0,0
21,John Hightower,0.0,1,0,0,0,0,17,0,0
22,Adam Humphries,0.0,1,0,0,0,0,0,0,0
23,Trenton Irwin,0.0,1,0,0,0,0,0,0,0
24,Van Jefferson,0.0,1,0,0,0,0,0,0,0
0,Jaquan Johnson,0.0,1,0,0,0,0,0,0,0
1,Christian Kirk,0.0,1,0,0,0,0,0,0,0
2,Cole Kmet,0.0,1,0,0,0,0,0,0,0
3,Allen Lazard,0.0,1,0,0,0,0,0,0,0
4,Josh Metellus,0.0,1,0,0,0,0,0,0,0
5,Foster Moreau,0.0,1,0,0,0,0,0,0,0
6,Tre Norwood,0.0,1,0,0,0,0,0,0,0
7,Aaron Patrick,0.0,1,0,0,0,0,0,0,0
8,Michael Pittman,0.0,1,0,0,0,0,0,0,0
9,Josh Reynolds,0.0,1,0,0,0,0,0,0,0
10,Demarcus Robinson,0.0,1,0,0,0,0,0,0,0
11,Jaylen Samuels,0.0,1,0,0,0,0,0,0,0
12,Eric Saubert,0.0,1,0,0,0,0,0,0,0
13,Trey Sermon,0.0,1,0,0,0,0,0,1,0
14,Laviska Shenault Jr.,0.0,1,0,0,0,0,0,0,0
15,DeVonta Smith,0.0,1,0,0,0,0,0,0,0
16,Justin Strnad,0.0,1,0,0,0,0,0,0,0
17,Freddie Swain,0.0,1,0,0,0,0,0,0,0
18,Tavierre Thomas,0.0,0,30,0,1,0,30,0,0
19,Joe Walker,0.0,1,0,0,0,0,0,0,0
20,Fred Warner,0.0,1,0,0,0,0,0,0,0
21,Nick Westbrook-Ikhine,0.0,1,0,0,0,0,0,0,0
22,Kyzir White,0.0,1,0,0,0,0,0,0,0
23,,0.0,0,0,0,0,0,0,0,0
24,,0.0,0,0,0,0,0,0,0,0
0,,0.0,0,0,0,0,0,0,0,0
1,,0.0,0,0,0,0,0,0,0,0
2,,0.0,0,0,0,0,0,0,0,0
3,,0.0,0,0,0,0,0,0,0,0
4,,0.0,0,0,0,0,0,0,0,0
5,,0.0,0,0,0,0,0,0,0,0
6,,0.0,0,0,0,0,0,0,0,0
7,,0.0,0,0,0,0,0,0,0,0
8,,0.0,0,0,0,0,0,0,0,0
9,,0.0,0,0,0,0,0,0,0,0
10,,0.0,0,0,0,0,0,0,0,0
11,,0.0,0,0,0,0,0,0,0,0
12,,0.0,0,0,0,0,0,0,0,0
13,,0.0,0,0,0,0,0,0,0,0
14,,0.0,0,0,0,0,0,0,0,0
15,,0.0,0,0,0,0,0,0,0,0
16,,0.0,0,0,0,0,0,0,0,0
17,,0.0,0,0,0,0,0,0,0,0
18,,0.0,0,0,0,0,0,0,0,0
19,,0.0,0,0,0,0,0,0,0,0
20,,0.0,0,0,0,0,0,0,0,0
21,,0.0,0,0,0,0,0,0,0,0
22,,0.0,0,0,0,0,0,0,0,0
23,,0.0,0,0,0,0,0,0,0,0
24,,0.0,0,0,0,0,0,0,0,0
0,,0.0,0,0,0,0,0,0,0,0
1,,0.0,0,0,0,0,0,0,0,0
2,,0.0,0,0,0,0,0,0,0,0
3,,0.0,0,0,0,0,0,0,0,0
4,,0.0,0,0,0,0,0,0,0,0
