,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
14,Travis Benjamin,0,0,0,0,0,0,0,0.0,0,0,5
15,Darius Bradwell,0,0,0,0,0,0,0,0.0,0,0,1
16,John Brown,0,0,0,0,0,0,0,0.0,0,0,3
17,Tevaughn Campbell,0,0,0,0,0,0,0,0.0,0,0,1
18,Tyrie Cleveland,0,0,0,0,0,0,0,0.0,0,0,1
19,Isaiah Coulter,0,0,0,0,0,0,0,0.0,0,0,1
20,Keion Crossen,0,0,0,0,0,0,0,0.0,0,0,1
21,Dion Dawkins,0,0,0,0,0,0,0,0.0,0,0,1
22,Jacob Eason,0,0,0,0,0,0,1,0.0,0,0,0
23,Ben Ellefson,0,0,0,0,0,0,0,0.0,0,0,1
24,Justin Herbert,0,0,0,0,0,0,0,0.0,0,0,1
0,Jason Huntley,0,0,0,0,0,0,0,0.0,0,0,1
1,Jalen Hurts,0,0,0,0,0,0,0,0.0,0,0,1
2,Baker Mayfield,0,11,0,0,0,11,1,0.0,0,11,0
3,Codey McElroy,0,0,0,0,0,0,0,0.0,0,0,1
4,David Moore,0,0,0,0,0,0,0,0.0,0,0,2
5,Kyler Murray,0,7,0,0,0,7,0,0.0,0,7,0
6,Matt Nelson,0,0,0,0,0,0,0,0.0,0,0,1
7,Giovanni Ricci,0,0,0,0,0,0,0,0.0,0,0,2
8,Mekhi Sargent,0,0,0,0,0,0,0,0.0,0,0,1
9,Devin Smith,0,0,0,0,0,0,0,0.0,0,0,1
10,Vyncint Smith,0,0,0,0,0,0,0,0.0,0,0,1
11,Stephen Sullivan,0,0,0,0,0,0,0,0.0,0,0,1
12,Colin Thompson,0,0,0,0,0,0,0,0.0,0,0,1
13,Mike White,0,0,0,0,0,0,0,0.0,0,0,1
14,Trent Williams,0,0,0,0,0,0,0,0.0,0,0,1
15,Zach Wilson,0,0,0,0,0,0,0,0.0,0,0,1
16,,0,0,0,0,0,0,0,0.0,0,0,19
17,,0,0,0,0,0,0,0,0.0,0,0,20
18,,0,0,0,0,0,0,0,0.0,0,0,32
19,,0,0,0,0,0,0,0,0.0,0,0,24
20,,0,0,0,0,0,0,0,0.0,0,0,18
21,,0,0,0,0,0,0,0,0.0,0,0,15
22,,0,0,0,0,0,0,0,0.0,0,0,21
23,,0,0,0,0,0,0,0,0.0,0,0,10
24,,0,0,0,0,0,0,0,0.0,0,0,24
0,,0,0,0,0,0,0,0,0.0,0,0,28
1,,0,0,0,0,0,0,0,0.0,0,0,23
2,,0,0,0,0,0,0,0,0.0,0,0,13
3,,0,0,0,0,0,0,0,0.0,0,0,23
4,,0,0,0,0,0,0,0,0.0,0,0,19
5,,0,0,0,0,0,0,0,0.0,0,0,21
6,,0,0,0,0,0,0,0,0.0,0,0,38
7,,0,0,0,0,0,0,0,0.0,0,0,5
8,,0,0,0,0,0,0,0,0.0,0,0,25
9,,0,0,0,0,0,0,0,0.0,0,0,16
10,,0,0,0,0,0,0,0,0.0,0,0,26
11,,0,0,0,0,0,0,0,0.0,0,0,11
12,,0,0,0,0,0,0,0,0.0,0,0,30
13,,0,0,0,0,0,0,0,0.0,0,0,29
14,,0,0,0,0,0,0,0,0.0,0,0,22
15,,0,0,0,0,0,0,0,0.0,0,0,26
16,,0,0,0,0,0,0,0,0.0,0,0,21
17,,0,0,0,0,0,0,0,0.0,0,0,11
18,,0,0,0,0,0,0,0,0.0,0,0,15
19,,0,0,0,0,0,0,0,0.0,0,0,17
20,,0,0,0,0,0,0,0,0.0,0,0,21
21,,0,0,0,0,0,0,0,0.0,0,0,15
22,,0,0,0,0,0,0,0,0.0,0,0,16
