,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
6,Damien Harris,18,132,0,1,0,21,4,22.2,0,134,21
7,Derrick Henry,18,154,0,0,0,16,7,38.9,0,160,20
8,Ian Thomas,18,188,0,3,1,41,6,33.3,0,92,30
9,Logan Thomas,18,196,3,2,0,35,10,55.6,1,72,25
10,Robert Tonyan,18,204,2,4,0,33,10,55.6,0,110,29
11,Brandon Zylstra,18,250,1,4,1,55,10,55.6,0,118,25
12,C.J. Ham,17,125,0,1,0,27,6,35.3,0,61,18
13,Terrace Marshall Jr.,17,138,0,1,0,23,7,41.2,0,61,31
14,Stephen Anderson,16,165,1,3,0,34,9,56.2,0,115,19
15,Noah Brown,16,184,0,3,0,27,6,37.5,0,68,25
16,Travis Homer,16,161,0,3,0,31,8,50.0,0,128,20
17,Tyler Kroft,16,173,1,3,0,26,9,56.2,0,74,25
18,Ty Montgomery,16,95,0,1,0,21,5,31.2,0,87,26
19,James Proche,16,202,0,2,0,32,10,62.5,0,55,20
20,Damien Williams,16,103,1,1,0,23,3,18.8,0,109,23
21,Maxx Williams,16,193,1,3,0,34,9,56.2,0,125,17
22,Quintez Cephus,15,204,2,5,1,46,9,60.0,0,95,23
23,Chris Evans,15,151,2,1,0,24,6,40.0,0,113,17
24,Kendall Hinton,15,175,1,2,1,40,10,66.7,0,57,23
0,Mohamed Sanu,15,177,0,1,0,21,12,80.0,0,44,24
1,Cam Sims,15,211,2,2,1,43,11,73.3,0,42,23
2,JuJu Smith-Schuster,15,129,0,1,0,24,6,40.0,0,68,28
3,Jimmy Graham,14,167,3,2,0,28,10,71.4,0,55,24
4,Khalil Herbert,14,96,0,1,0,20,6,42.9,0,101,16
5,Mack Hollins,14,223,4,4,2,65,11,78.6,0,35,29
6,O.J. Howard,14,135,1,1,0,21,10,71.4,0,83,21
7,MyCole Pruitt,14,145,3,2,0,22,10,71.4,0,59,19
8,Rhamondre Stevenson,14,123,0,2,1,41,3,21.4,1,145,18
9,Ashton Dulin,13,173,2,2,1,62,9,69.2,0,50,22
10,KhaDarel Hodge,13,157,0,2,1,42,7,53.8,0,37,28
