,Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
0,Josh Jacobs,1653,340,12,7,2,86,93,27.4,2
1,Derrick Henry,1538,349,13,10,4,56,65,18.6,4
2,Nick Chubb,1525,302,12,13,1,41,69,22.8,1
3,Saquon Barkley,1312,295,10,9,2,68,62,21.0,1
4,Miles Sanders,1269,259,11,9,1,40,62,23.9,1
5,Dalvin Cook,1173,264,8,5,3,81,50,18.9,3
6,Justin Fields,1143,160,8,10,4,67,65,40.6,8
7,Christian McCaffrey,1139,244,8,9,1,49,59,24.2,1
8,Travis Etienne,1125,220,5,8,4,62,52,23.6,3
9,Aaron Jones,1121,213,2,6,0,36,54,25.4,3
10,Jamaal Williams,1066,262,17,4,2,58,65,24.8,3
11,Kenneth Walker III,1050,228,9,10,3,74,51,22.4,0
12,Rhamondre Stevenson,1040,210,5,7,1,49,49,23.3,2
13,Tyler Allgeier,1035,210,3,6,3,44,53,25.2,0
14,Najee Harris,1034,272,7,1,0,36,45,16.5,2
15,Tony Pollard,1007,193,9,9,3,57,46,23.8,0
16,Dameon Pierce,939,220,4,7,2,75,54,24.6,4
17,Austin Ekeler,915,204,13,4,2,72,46,22.6,3
18,D'Onta Foreman,914,203,5,8,1,60,45,22.2,1
19,Alvin Kamara,897,223,2,3,0,27,40,17.9,2
20,Raheem Mostert,891,181,3,6,1,67,44,24.3,1
21,Ezekiel Elliott,876,231,12,5,0,27,52,22.5,0
22,Jonathan Taylor,861,192,4,5,1,66,39,20.3,3
23,Jeff Wilson,860,176,5,7,1,41,43,24.4,2
24,Isiah Pacheco,830,170,5,3,0,31,37,21.8,3
0,Devin Singletary,819,177,5,5,0,33,42,23.7,3
1,Joe Mixon,814,210,7,4,1,40,47,22.4,0
2,David Montgomery,801,201,5,2,0,28,41,20.4,1
3,Brian Robinson,797,205,2,2,0,24,49,23.9,2
4,Cam Akers,786,188,7,3,1,42,39,20.7,2
5,James Conner,782,183,7,3,0,23,48,26.2,3
6,AJ Dillon,770,186,7,3,0,27,47,25.3,0
7,Lamar Jackson,764,112,3,5,1,79,46,41.1,2
8,Josh Allen,762,124,7,8,1,44,55,44.4,7
9,Jalen Hurts,760,165,13,7,1,42,67,40.6,5
10,Latavius Murray,760,171,6,5,1,52,44,25.7,1
11,Khalil Herbert,731,129,4,4,2,63,26,20.2,0
12,Daniel Jones,708,120,7,4,0,25,57,47.5,2
13,Cordarrelle Patterson,695,144,8,4,1,40,39,27.1,1
14,Leonard Fournette,668,189,3,1,0,23,39,20.6,0
15,Taysom Hill,575,96,7,3,2,60,34,35.4,1
16,Antonio Gibson,546,149,3,1,0,20,32,21.5,1
17,D'Andre Swift,542,99,5,3,2,50,21,21.2,0
18,J.K. Dobbins,520,92,2,4,1,44,26,28.3,0
19,James Cook,507,89,2,6,0,33,24,27.0,1
20,Kenyan Drake,482,109,4,5,1,40,21,19.3,1
21,Rachaad White,481,129,1,2,0,35,27,20.9,1
22,Kareem Hunt,468,123,3,2,0,24,30,24.4,1
23,Chuba Hubbard,466,95,2,3,0,35,23,24.2,0
24,Breece Hall,463,80,4,3,1,62,20,25.0,0
0,Damien Harris,462,106,3,2,0,30,23,21.7,0
1,Zack Moss,456,93,1,2,1,43,18,19.4,1
2,Marcus Mariota,438,85,4,4,0,30,30,35.3,4
3,Gus Edwards,433,87,3,3,0,37,30,34.5,1
4,James Robinson,425,110,3,4,1,50,22,20.0,1
5,Kyler Murray,418,67,3,3,1,42,23,34.3,5
6,Michael Carter,402,114,3,3,0,25,14,12.3,1
7,Samaje Perine,394,95,2,1,0,29,19,20.0,0
8,Jaylen Warren,379,77,1,3,0,31,20,26.0,1
9,Caleb Huntley,366,76,1,2,0,30,18,23.7,1
10,Geno Smith,366,68,1,2,0,25,24,35.3,3
11,Patrick Mahomes,358,61,4,1,0,20,25,41.0,4
12,Rashaad Penny,346,57,2,5,1,41,15,26.3,1
13,Melvin Gordon,318,90,2,0,0,17,15,16.7,4
14,Eno Benjamin,313,77,2,1,1,45,14,18.2,0
15,Clyde Edwards-Helaire,302,71,3,2,1,52,15,21.1,0
16,Bam Knight,300,85,1,1,1,48,14,16.5,1
17,Trevor Lawrence,291,62,5,1,0,24,27,43.6,5
18,Jerick McKinnon,291,72,1,2,0,30,12,16.7,0
19,Joshua Kelley,287,69,2,1,0,22,16,23.2,0
20,Darrell Henderson,283,70,3,1,0,23,14,20.0,0
21,Alexander Mattison,283,74,5,0,0,15,21,28.4,0
22,Elijah Mitchell,279,45,2,1,0,37,15,33.3,0
23,Russell Wilson,277,55,3,0,0,19,21,38.2,2
24,Justice Hill,262,49,0,1,0,34,15,30.6,1
0,Jordan Mason,258,43,1,1,1,55,10,23.3,0
1,Joe Burrow,257,75,5,2,0,23,27,36.0,0
2,Chase Edmonds,245,68,2,3,0,28,8,11.8,0
3,Jacoby Brissett,243,49,2,3,0,22,28,57.1,1
4,Kenneth Gainwell,240,53,4,0,0,13,17,32.1,0
5,Kenny Pickett,237,55,3,1,0,23,23,41.8,3
6,Deon Jackson,236,68,1,0,0,17,13,19.1,1
7,Mark Ingram,233,62,1,0,0,14,12,19.4,1
8,Deebo Samuel,232,42,3,3,1,51,8,19.0,3
9,Matt Breida,220,54,1,0,0,18,13,24.1,0
10,Boston Scott,217,54,3,1,0,21,12,22.2,0
11,Javonte Williams,204,47,0,0,0,17,9,19.2,1
12,JaMycal Hasty,194,46,2,1,1,61,7,15.2,0
13,Curtis Samuel,187,38,1,2,0,21,11,29.0,1
14,DeeJay Dallas,186,35,0,1,0,27,9,25.7,0
15,Dak Prescott,182,45,1,1,0,25,19,42.2,1
16,Deshaun Watson,175,36,1,2,0,21,10,27.8,1
17,Justin Jackson,170,42,1,1,0,27,8,19.0,0
18,Malik Davis,161,38,1,2,0,23,6,15.8,0
19,Ty Johnson,160,30,1,2,0,32,5,16.7,0
20,Jonathan Williams,152,37,0,1,0,23,6,16.2,0
21,Justin Herbert,147,54,0,1,0,23,17,31.5,3
22,Dontrell Hilliard,145,22,0,2,0,30,4,18.2,0
23,Gary Brightwell,141,31,1,1,0,25,9,29.0,0
24,Kyren Williams,139,35,0,0,0,17,6,17.1,0
0,Tyler Huntley,137,43,1,0,0,14,12,27.9,3
1,Dare Ogunbowale,123,42,1,0,0,11,10,23.8,0
2,Malik Willis,123,27,1,0,0,17,8,29.6,2
3,Royce Freeman,117,41,0,0,0,11,7,17.1,1
4,Avery Williams,109,22,1,1,0,21,6,27.3,0
5,Davis Mills,108,32,2,0,0,17,7,21.9,3
6,Sam Darnold,106,26,2,1,0,26,9,34.6,5
7,Sony Michel,106,36,0,0,0,12,8,22.2,0
