,Player,INT,INT TD,INT Yds,Lng
19,Terrell Lewis,1,0,0,0
20,Frankie Luvu,1,1,33,33
21,Avonte Maddox,1,0,2,2
22,Arthur Maulet,1,0,12,12
23,Roger McCreary,1,0,4,4
24,Verone McKinley III,1,0,17,17
0,Josh Metellus,1,0,0,0
1,Terrance Mitchell,1,0,1,1
2,Nicholas Morrow,1,0,5,5
3,Emmanuel Moseley,1,1,41,41
4,C.J. Mosley,1,0,0,0
5,Israel Mukuamu,1,0,0,0
6,Kenneth Murray,1,0,16,16
7,Keanu Neal,1,0,0,0
8,Ryan Neal,1,0,13,13
9,Steven Nelson,1,0,33,33
10,Keisean Nixon,1,0,1,1
11,George Odum,1,0,25,25
12,Jeff Okudah,1,1,20,20
13,Isaiah Oliver,1,0,27,27
14,Marcus Peters,1,0,8,8
15,James Pierre,1,0,0,0
16,Jason Pierre-Paul,1,0,3,3
17,D.J. Reed,1,0,0,0
18,Bravvion Roy,1,0,3,3
19,Logan Ryan,1,0,0,0
20,Darnell Savage,1,1,75,75
21,Duke Shelley,1,0,0,0
22,Derek Stingley Jr.,1,0,9,9
23,Greg Stroman,1,0,10,10
24,Josh Sweat,1,1,42,42
0,Teair Tart,1,0,0,0
1,Jalen Thompson,1,0,0,0
2,Drue Tranquill,1,0,20,20
3,Andrew Van Ginkel,1,0,23,23
4,Kindle Vildor,1,0,18,18
5,Travon Walker,1,0,9,9
6,Charvarius Ward,1,0,9,9
7,Fred Warner,1,0,20,20
8,Jaylen Watson,1,1,99,99
9,Tre'Davious White,1,0,0,0
10,Donovan Wilson,1,0,0,0
11,Joshua Williams,1,0,7,7
12,K'Waun Williams,1,0,0,0
13,Rodarius Williams,1,0,1,1
14,Logan Wilson,1,0,41,41
15,Antoine Winfield Jr.,1,0,15,15
16,Andrew Wingard,1,0,13,13
17,Ahkello Witherspoon,1,0,0,0
18,Samuel Womack,1,0,0,0
19,Nahshon Wright,1,0,0,0
20,,0,0,0,0
