,concat_index,Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,season_year
74,9,Jason Sanders,88,5486,665,61,69.3,24,27.7,3,0,0,1,2022
75,10,Justin Tucker,86,5449,552,60,69.8,26,21.2,0,0,0,0,2022
76,11,Graham Gano,84,5117,751,50,59.5,29,25.9,5,0,0,0,2022
77,12,Eddy Pineiro,82,5137,738,46,56.1,33,22.4,1,0,2,0,2022
78,13,Cade York,81,5032,598,50,61.7,28,21.4,3,0,2,0,2022
79,14,Bradley Pinion,80,5143,471,59,73.8,21,22.4,0,0,0,0,2022
80,15,Jake Camarda,78,4859,878,40,51.3,34,25.8,3,0,1,0,2022
81,16,Matt Gay,77,4843,345,61,79.2,15,23.0,1,0,0,0,2022
82,17,Joey Slye,77,4802,298,60,77.9,14,21.3,3,0,0,0,2022
83,18,Ka'imi Fairbairn,75,4564,703,33,44.0,37,19.0,5,0,1,0,2022
84,19,Wil Lutz,75,4554,520,48,64.0,23,22.6,4,0,0,0,2022
85,20,Mason Crosby,74,4497,1350,15,20.3,58,23.3,1,0,0,0,2022
86,21,Brandon McManus,73,4580,445,51,69.9,21,21.2,2,1,0,0,2022
87,22,Chase McLaughlin,72,4682,783,38,52.8,34,23.0,0,0,0,0,2022
88,23,Harrison Butker,68,4378,535,44,64.7,24,22.3,0,0,0,0,2022
89,24,Jack Fox,65,4202,451,46,70.8,19,23.7,0,0,0,0,2022
90,0,Randy Bullock,56,3541,516,31,55.4,25,20.6,0,0,0,0,2022
91,1,Greg Zuerlein,56,3590,220,47,83.9,9,24.4,0,0,0,0,2022
92,2,Cameron Dicker,55,3519,177,46,83.6,9,19.7,0,0,0,0,2022
93,3,Chris Boswell,50,3075,588,21,42.0,27,21.8,1,0,2,0,2022
94,4,Matt Prater,49,3098,335,34,69.4,14,23.9,1,0,0,0,2022
95,5,Cairo Santos,49,3076,503,28,57.1,18,27.9,2,0,1,1,2022
96,6,Jake Bailey,46,2949,389,28,60.9,18,21.6,0,0,0,0,2022
97,7,Nick Folk,33,1953,823,3,9.1,28,29.4,1,0,1,3,2022
98,8,Trenton Gill,27,1743,320,13,48.2,14,22.9,0,0,0,0,2022
99,9,Rodrigo Blankenship,20,1303,23,17,85.0,1,23.0,0,0,2,0,2022
