,concat_index,Player,Comb,Asst,Solo,Sck,season_year
122,22,Michael Carter II,72,27,38,1.0,2021
123,23,Anthony Harris,72,36,34,0.0,2021
124,24,Austin Johnson,72,41,25,3.5,2021
125,0,Keanu Neal,72,28,42,1.0,2021
126,1,Eric Rowe,72,28,38,0.0,2021
127,2,Josh Allen,71,25,36,7.5,2021
128,3,Anthony Brown,71,12,56,0.0,2021
129,4,Andrew Van Ginkel,71,21,40,4.0,2021
130,5,Darious Williams,71,11,55,0.0,2021
131,6,Devin Bush,70,29,35,2.0,2021
132,7,Leonard Floyd,70,33,30,9.5,2021
133,8,Jevon Holland,69,21,44,2.5,2021
134,9,DeForest Buckner,68,28,28,7.0,2021
135,10,Marshon Lattimore,68,13,53,0.0,2021
136,11,Haason Reddick,68,31,31,11.0,2021
137,12,Derrick Barnes,67,25,36,2.0,2021
138,13,Duron Harmon,67,23,39,0.0,2021
139,14,Dean Marlowe,67,30,29,0.0,2021
140,15,Reggie Ragland,67,29,31,0.0,2021
141,16,A'Shawn Robinson,67,34,24,2.0,2021
142,17,Charvarius Ward,67,19,44,0.0,2021
143,18,Paulson Adebo,66,11,51,0.0,2021
144,19,Grant Delpit,66,23,39,1.0,2021
145,20,Mike Hilton,66,18,43,0.0,2021
146,21,Sidney Jones,66,21,38,0.0,2021
147,22,Julian Love,66,30,33,0.5,2021
148,23,Justin Reid,66,25,36,0.0,2021
149,24,Jaquiski Tartt,66,24,36,0.0,2021
150,0,Kyle Van Noy,66,24,34,5.0,2021
151,1,Davon Godchaux,65,33,25,1.0,2021
152,2,Charles Harris,65,31,31,7.5,2021
153,3,Chidobe Awuzie,64,11,49,0.0,2021
154,4,Erik Harris,64,18,44,0.5,2021
155,5,Dont'a Hightower,64,25,31,1.5,2021
156,6,Byron Murphy,64,15,49,0.5,2021
157,7,Juan Thornhill,64,21,42,0.0,2021
158,8,T.J. Watt,64,16,42,22.5,2021
159,9,Arik Armstead,63,34,22,6.0,2021
160,10,Bashaud Breeland,63,16,38,0.0,2021
161,11,Brandin Echols,63,13,46,0.0,2021
162,12,Javon Hargrave,63,36,25,7.5,2021
163,13,Bobby McCain,63,16,46,0.0,2021
164,14,Darnell Savage,63,15,43,0.0,2021
165,15,Khari Willis,63,20,36,1.5,2021
166,16,Jonathan Allen,62,31,24,9.0,2021
167,17,Ashtyn Davis,62,19,37,0.5,2021
168,18,Marcus Epps,62,23,37,0.0,2021
169,19,Amani Hooker,62,24,36,0.0,2021
170,20,Sam Hubbard,62,29,30,7.5,2021
171,21,Adoree' Jackson,62,15,41,0.0,2021
172,22,Elijah Molden,62,19,39,0.0,2021
173,23,Zach Sieler,62,29,23,2.0,2021
174,24,Pete Werner,62,26,30,0.0,2021
