,concat_index,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,season_year
87,12,J.J. Koski,17.8,5,89,0,1,0,26,0,1,2021
88,13,Giovani Bernard,17.7,3,53,0,0,0,19,0,0,2021
89,14,Chris Claybrooks,17.6,5,88,0,2,0,25,0,0,2021
90,15,Jaylen Waddle,17.6,9,158,0,3,0,25,0,0,2021
91,16,Nyheim Hines,17.5,4,70,0,1,0,20,0,0,2021
92,17,Henry Ruggs III,17.5,4,70,0,2,0,22,0,0,2021
93,18,Ben Skowronek,17.5,4,70,0,0,0,19,0,0,2021
94,19,Ambry Thomas,17.5,4,70,0,0,0,19,0,0,2021
95,20,Tutu Atwell,17.4,5,87,0,2,0,25,0,0,2021
96,21,Pooka Williams Jr.,17.3,3,52,0,1,0,25,0,0,2021
97,22,Pharoh Cooper,17.2,12,207,0,4,0,26,0,1,2021
98,23,Quez Watkins,17.2,8,138,0,4,0,24,0,1,2021
99,24,Kenneth Gainwell,17.1,8,137,0,4,0,31,0,0,2021
100,0,Diontae Spencer,17.1,17,291,0,4,0,26,0,1,2021
101,1,Darrynton Evans,17.0,1,17,0,0,0,17,0,0,2021
102,2,Maurice Ffrench,17.0,1,17,0,0,0,17,0,0,2021
103,3,Buddy Howell,17.0,2,34,0,0,0,19,0,0,2021
104,4,Equanimeous St. Brown,17.0,1,17,0,0,0,17,0,0,2021
105,5,Trent Taylor,17.0,4,68,0,3,0,25,0,0,2021
106,6,Jordan Wilkins,17.0,1,17,0,0,0,17,0,0,2021
107,7,Larry Rountree III,16.7,7,117,0,2,0,24,0,0,2021
108,8,K.J. Hill,16.7,3,50,0,0,0,18,0,0,2021
109,9,Nasir Adderley,16.0,3,48,0,0,0,19,0,0,2021
110,10,Cameron Batson,16.0,5,80,0,1,0,20,0,0,2021
111,11,Jalen Guyton,16.0,2,32,0,1,0,22,0,0,2021
112,12,Jonathan Ward,16.0,1,16,0,0,0,16,0,0,2021
113,13,Jeremy McNichols,15.5,2,31,0,0,0,16,0,0,2021
114,14,Danny Amendola,15.0,1,15,0,0,0,15,0,0,2021
115,15,JaQuan Hardy,15.0,1,15,0,0,0,15,0,0,2021
116,16,Ke'Shawn Vaughn,15.0,1,15,0,0,0,15,0,0,2021
117,17,Travis Homer,14.7,3,44,1,1,1,44,0,0,2021
118,18,Myles Gaskin,14.5,2,29,0,0,0,16,0,1,2021
119,19,Alex Armah,14.0,2,28,0,0,0,17,0,0,2021
120,20,Jakob Johnson,14.0,1,14,0,0,0,14,0,0,2021
121,21,Taiwan Jones,14.0,1,14,0,0,0,14,0,0,2021
122,22,Zach Pascal,14.0,1,14,0,0,0,14,0,0,2021
123,23,Olamide Zaccheaus,13.7,3,41,0,1,0,24,0,0,2021
124,24,Devin McCourty,13.5,2,27,0,0,0,18,0,0,2021
125,0,Dan Arnold,13.0,1,13,0,0,0,13,0,0,2021
126,1,Demetrius Harris,13.0,2,26,0,0,0,14,0,0,2021
127,2,D.J. Moore,13.0,1,13,0,0,0,13,0,0,2021
128,3,Colby Parkinson,13.0,1,13,0,0,0,13,0,0,2021
129,4,Boston Scott,13.0,1,13,0,0,0,13,0,0,2021
130,5,Keith Smith,13.0,2,26,0,0,0,16,0,0,2021
131,6,Travis Benjamin,12.0,2,24,0,0,0,12,0,0,2021
132,7,Khari Blasingame,12.0,1,12,0,0,0,12,0,0,2021
133,8,John Ross,12.0,1,12,0,0,0,12,0,0,2021
134,9,Mecole Hardman,11.7,3,35,0,1,0,20,0,0,2021
135,10,Antony Auclair,11.0,1,11,0,0,0,11,0,0,2021
136,11,Stanley Morgan,11.0,2,22,0,0,0,18,0,1,2021
137,12,James Proche,11.0,2,22,0,1,0,22,0,1,2021
138,13,Michael Burton,10.5,2,21,0,0,0,12,0,0,2021
139,14,Tyler Johnson,10.0,1,10,0,0,0,10,0,0,2021
140,15,Darnell Mooney,10.0,1,10,0,0,0,10,0,0,2021
141,16,Andy Janovich,9.5,2,19,0,0,0,13,0,0,2021
142,17,Aaron Jones,9.5,2,19,0,0,0,10,0,0,2021
143,18,Daren Bates,8.0,1,8,0,0,0,8,0,0,2021
144,19,Ryan Griffin,8.0,1,8,0,0,0,8,0,0,2021
