,concat_index,Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk,season_year
71,22,Evan McPherson,24,29,82.8,1/1,5/6,4/4,9/13,5/5,0/0,59,0,2022
72,23,Cade York,24,32,75.0,0/0,5/5,9/12,6/8,4/6,0/1,58,3,2022
73,24,Wil Lutz,23,31,74.2,0/0,6/6,9/11,4/8,3/4,1/2,60,2,2022
74,0,Matt Prater,22,25,88.0,0/0,1/1,10/10,6/8,5/6,0/0,57,0,2022
75,1,Cameron Dicker,21,22,95.4,0/0,7/7,7/7,7/7,0/1,0/0,48,0,2022
76,2,Cairo Santos,21,23,91.3,0/0,4/4,7/7,6/7,4/5,0/0,51,1,2022
77,3,Chris Boswell,20,28,71.4,0/0,4/4,4/5,5/10,7/9,0/0,59,1,2022
78,4,Jake Elliott,20,23,87.0,0/0,6/6,8/9,1/2,5/6,0/0,56,1,2022
79,5,Harrison Butker,18,24,75.0,0/0,7/7,4/5,4/5,2/6,1/1,62,1,2022
80,6,Randy Bullock,17,20,85.0,0/0,5/5,5/5,6/8,1/2,0/0,51,0,2022
81,7,Dustin Hopkins,9,10,90.0,0/0,2/2,6/6,1/2,0/0,0/0,43,0,2022
82,8,Matt Ammendola,5,7,71.4,1/1,3/3,1/2,0/1,0/0,0/0,31,0,2022
83,9,Rodrigo Blankenship,4,5,80.0,0/0,2/2,0/0,1/2,1/1,0/0,50,0,2022
84,10,Taylor Bertolet,3,3,100.0,0/0,3/3,0/0,0/0,0/0,0/0,28,0,2022
85,11,Austin Seibert,3,5,60.0,0/0,0/0,1/1,2/3,0/1,0/0,48,0,2022
86,12,Caleb Shudak,3,4,75.0,0/0,1/1,2/3,0/0,0/0,0/0,38,0,2022
87,13,Nick Sciba,2,2,100.0,0/0,1/1,1/1,0/0,0/0,0/0,38,0,2022
88,14,Matthew Wright,2,4,50.0,0/0,0/0,2/3,0/1,0/0,0/0,33,0,2022
89,15,Dominik Eberle,1,1,100.0,0/0,0/0,0/0,1/1,0/0,0/0,49,0,2022
90,16,Josh Lambo,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0,2022
91,17,Justin Reid,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0,2022
92,18,Mitch Wishnowsky,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0,2022
