,concat_index,Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,season_year
87,12,Brandon Bolden,226,44,1,2,0,24,12,27.3,1,2021
88,13,Sam Darnold,222,48,5,2,0,30,21,43.8,2,2021
89,14,Carson Wentz,215,57,1,0,0,18,21,36.8,4,2021
90,15,Peyton Barber,212,55,2,1,0,27,12,21.8,2,2021
91,16,J.D. McKissic,212,48,2,0,0,15,14,29.2,0,2021
92,17,Ty'Son Williams,185,35,1,2,0,35,8,22.9,1,2021
93,18,Zach Wilson,185,29,4,3,1,52,10,34.5,0,2021
94,19,Russell Wilson,183,43,2,0,0,17,17,39.5,2,2021
95,20,Ke'Shawn Vaughn,180,36,2,1,1,55,9,25.0,0,2021
96,21,Travis Homer,177,21,1,2,1,73,7,33.3,0,2021
97,22,Royce Freeman,169,56,0,0,0,13,8,14.3,0,2021
98,23,Trey Lance,168,38,1,0,0,15,8,21.0,0,2021
99,24,Trey Sermon,167,41,1,0,0,16,9,22.0,0,2021
100,0,Ameer Abdullah,166,51,0,0,0,15,8,15.7,0,2021
101,1,Jameis Winston,166,32,1,1,0,20,17,53.1,0,2021
102,2,Damien Williams,164,40,2,1,0,23,11,27.5,0,2021
103,3,Jeremy McNichols,156,41,0,0,0,14,6,14.6,0,2021
104,4,Tyrod Taylor,151,19,3,2,0,30,7,36.8,3,2021
105,5,Salvon Ahmed,149,54,0,0,0,16,8,14.8,0,2021
106,6,Tony Jones,142,54,0,0,0,11,7,13.0,0,2021
107,7,Corey Clement,140,33,0,1,0,38,7,21.2,0,2021
108,8,DeeJay Dallas,138,33,2,0,0,15,10,30.3,0,2021
109,9,Dare Ogunbowale,137,43,1,0,0,12,5,11.6,0,2021
110,10,Baker Mayfield,134,37,1,0,0,14,12,32.4,1,2021
111,11,Dak Prescott,131,48,1,1,0,21,7,14.6,8,2021
112,12,Mac Jones,129,44,0,0,0,13,22,50.0,3,2021
113,13,Tua Tagovailoa,128,42,3,1,0,23,13,31.0,4,2021
114,14,Kendrick Bourne,125,12,0,0,0,18,7,58.3,0,2021
115,15,Matt Breida,125,26,1,1,0,28,5,19.2,1,2021
116,16,Malcolm Brown,125,33,1,1,0,24,6,18.2,0,2021
117,17,Eno Benjamin,118,34,1,1,0,21,4,11.8,0,2021
118,18,Joe Burrow,118,40,2,0,0,12,14,35.0,1,2021
119,19,Godwin Igwebuike,118,18,1,1,1,42,7,38.9,2,2021
120,20,Kirk Cousins,115,29,1,1,0,29,8,27.6,2,2021
121,21,Jamal Agnew,111,7,1,1,1,66,3,42.9,0,2021
122,22,Derek Carr,108,40,0,1,0,22,9,22.5,4,2021
123,23,Teddy Bridgewater,106,30,2,0,0,13,16,53.3,1,2021
124,24,Qadree Ollison,105,21,1,0,0,19,7,33.3,1,2021
125,0,Wayne Gallman,104,28,0,0,0,17,5,17.9,0,2021
126,1,Joshua Kelley,102,33,0,0,0,14,5,15.2,1,2021
127,2,Le'Veon Bell,101,39,2,0,0,12,9,23.1,0,2021
128,3,Marlon Mack,101,28,0,1,0,22,6,21.4,0,2021
129,4,Aaron Rodgers,101,33,3,0,0,18,10,30.3,2,2021
130,5,Austin Walter,101,26,1,0,0,14,5,19.2,0,2021
131,6,Elijhaa Penny,99,24,1,0,0,12,9,37.5,0,2021
132,7,Adrian Peterson,98,38,2,0,0,16,6,15.8,1,2021
133,8,Benny Snell,98,36,0,0,0,9,2,5.6,0,2021
134,9,Chase Claypool,96,14,0,1,0,25,7,50.0,0,2021
135,10,Tyreek Hill,96,9,0,1,0,33,4,44.4,0,2021
136,11,DeAndre Carter,89,10,0,1,0,27,4,40.0,1,2021
137,12,Patrick Taylor,89,23,1,0,0,12,5,21.7,0,2021
138,13,Jared Goff,87,17,0,1,0,26,4,23.5,3,2021
139,14,Marcus Mariota,87,13,1,1,0,31,6,46.2,1,2021
140,15,Larry Rountree III,87,36,1,0,0,13,5,13.9,0,2021
141,16,Matt Ryan,82,40,1,0,0,17,9,22.5,5,2021
142,17,Tom Brady,81,28,2,0,0,13,14,50.0,2,2021
143,18,Ryquell Armstead,80,15,0,1,0,26,3,20.0,0,2021
144,19,Jonathan Williams,79,17,1,1,0,23,7,41.2,0,2021
145,20,Chris Evans,77,17,0,0,0,13,3,17.6,0,2021
146,21,Andy Dalton,76,16,0,0,0,14,2,12.5,0,2021
147,22,CeeDee Lamb,76,9,0,1,0,33,4,44.4,0,2021
148,23,Rondale Moore,76,18,0,1,0,26,2,11.1,0,2021
149,24,Jermar Jefferson,74,15,2,1,0,28,4,26.7,0,2021
150,0,Jacoby Brissett,70,19,1,0,0,19,9,47.4,0,2021
151,1,JaMycal Hasty,68,16,1,1,0,21,6,37.5,0,2021
152,2,Jake Fromm,65,8,0,1,0,27,4,50.0,0,2021
153,3,Jerick McKinnon,62,12,0,0,0,18,2,16.7,0,2021
154,4,Kene Nwangwu,61,13,0,0,0,19,3,23.1,0,2021
155,5,Amon-Ra St. Brown,61,7,1,1,0,26,2,28.6,0,2021
156,6,D'Wayne Eskridge,59,4,0,1,0,30,2,50.0,0,2021
157,7,Giovani Bernard,58,8,0,1,0,24,3,37.5,0,2021
158,8,Elijah Moore,54,5,1,0,0,19,3,60.0,0,2021
159,9,Diontae Johnson,53,5,0,1,0,25,2,40.0,0,2021
160,10,Drew Lock,53,10,2,1,0,23,5,50.0,1,2021
161,11,Mason Rudolph,53,5,0,1,0,26,3,60.0,1,2021
162,12,Jason Huntley,51,13,0,0,0,18,2,15.4,0,2021
163,13,Trayveon Williams,51,15,0,0,0,10,4,26.7,0,2021
164,14,Devin Duvernay,50,7,0,0,0,19,3,42.9,0,2021
165,15,D.J. Moore,48,8,0,0,0,14,4,50.0,0,2021
166,16,Isaiah McKenzie,47,9,1,0,0,10,4,44.4,0,2021
167,17,Jimmy Garoppolo,46,38,3,0,0,7,15,39.5,5,2021
168,18,Mecole Hardman,46,8,0,1,0,24,2,25.0,1,2021
169,19,Robert Woods,46,8,1,0,0,16,1,12.5,0,2021
170,20,Davis Mills,44,18,0,0,0,11,5,27.8,1,2021
171,21,Ty Montgomery,44,15,0,0,0,9,2,13.3,0,2021
172,22,Michael Pittman,44,5,0,1,0,25,1,20.0,0,2021
173,23,Scott Miller,43,2,1,1,0,33,2,100.0,0,2021
174,24,Geno Smith,42,9,1,0,0,12,3,33.3,0,2021
175,0,Deonte Harty,41,5,0,1,0,22,1,20.0,0,2021
176,1,Laviska Shenault Jr.,41,11,0,0,0,11,2,18.2,0,2021
177,2,Matthew Stafford,41,32,0,0,0,12,8,25.0,1,2021
178,3,Braxton Berrios,40,7,2,0,0,11,3,42.9,0,2021
179,4,Jarvis Landry,40,6,2,0,0,16,4,66.7,1,2021
180,5,Jalen Richard,40,9,0,1,0,23,3,33.3,0,2021
181,6,Jonnu Smith,40,9,0,0,0,9,2,22.2,0,2021
182,7,Anthony Schwartz,39,6,0,0,0,17,4,66.7,0,2021
183,8,James White,38,10,1,0,0,10,4,40.0,0,2021
184,9,Colt McCoy,37,22,0,0,0,11,6,27.3,2,2021
185,10,J.J. Taylor,37,19,2,0,0,15,3,15.8,0,2021
186,11,Robbie Anderson,36,3,0,1,0,30,1,33.3,0,2021
187,12,Kalen Ballage,36,12,0,0,0,13,2,16.7,0,2021
188,13,Mike Boone,35,4,0,0,0,16,2,50.0,0,2021
189,14,Jalen Guyton,34,7,0,1,0,21,2,28.6,1,2021
190,15,C.J. Ham,34,7,0,1,0,30,3,42.9,0,2021
191,16,Mike Glennon,33,7,1,0,0,13,2,28.6,1,2021
192,17,Jakeem Grant,33,5,0,0,0,13,2,40.0,0,2021
193,18,Jonathan Ward,33,9,0,0,0,7,3,33.3,0,2021
194,19,Ashton Dulin,32,3,0,1,0,37,1,33.3,0,2021
195,20,Allen Lazard,32,3,0,0,0,14,2,66.7,0,2021
196,21,Darnell Mooney,32,6,1,0,0,15,2,33.3,0,2021
197,22,Jalen Reagor,32,10,0,0,0,12,3,30.0,0,2021
198,23,Freddie Swain,32,5,0,0,0,11,2,40.0,0,2021
199,24,Deon Jackson,31,13,1,0,0,10,2,15.4,0,2021
200,0,La'Mical Perine,31,8,0,0,0,14,1,12.5,0,2021
201,1,Emmanuel Sanders,31,2,0,1,0,24,2,100.0,0,2021
202,2,Keith Smith,31,9,0,0,0,8,3,33.3,0,2021
203,3,JaQuan Hardy,29,4,1,1,0,22,1,25.0,0,2021
204,4,Josh Johnson,28,9,0,0,0,11,1,11.1,2,2021
205,5,C.J. Moore,28,1,0,1,0,28,1,100.0,0,2021
206,6,Kalif Raymond,28,4,0,0,0,13,2,50.0,0,2021
207,7,Jordan Love,27,12,0,0,0,10,1,8.3,1,2021
208,8,Michael Burton,26,8,1,0,0,7,8,100.0,0,2021
209,9,Wendell Smallwood,25,5,0,0,0,13,2,40.0,0,2021
210,10,Greg Dortch,24,1,0,1,0,24,1,100.0,0,2021
211,11,Demetric Felton,24,7,0,0,0,12,0,0.0,0,2021
212,12,Kylin Hill,24,10,0,0,0,8,1,10.0,0,2021
213,13,Mitchell Trubisky,24,13,1,1,0,22,3,23.1,0,2021
214,14,Jason Cabinda,23,3,0,1,0,21,2,66.7,0,2021
215,15,Tyler Boyd,22,2,0,0,0,14,1,50.0,0,2021
216,16,Kyle Juszczyk,22,8,1,0,0,6,3,37.5,0,2021
217,17,Case Keenum,22,12,0,0,0,10,6,50.0,0,2021
218,18,Alex Armah,21,5,0,0,0,9,4,80.0,0,2021
219,19,Tavon Austin,21,3,0,0,0,8,1,33.3,0,2021
220,20,Ja'Marr Chase,21,7,0,0,0,10,2,28.6,0,2021
221,21,Brandin Cooks,21,2,0,0,0,16,1,50.0,0,2021
222,22,Chris Godwin,21,4,1,0,0,9,4,100.0,0,2021
223,23,Gardner Minshew,21,9,0,0,0,9,2,22.2,1,2021
224,24,Zach Pascal,21,2,0,0,0,12,0,0.0,0,2021
225,0,Gerald Everett,20,3,0,0,0,13,2,66.7,0,2021
226,1,Van Jefferson,20,2,0,0,0,10,1,50.0,0,2021
227,2,George Kittle,20,3,0,0,0,9,0,0.0,0,2021
228,3,Raheem Mostert,20,2,0,0,0,11,1,50.0,0,2021
229,4,Trevor Siemian,20,9,1,0,0,17,2,22.2,0,2021
230,5,Andre Roberts,19,3,0,0,0,9,0,0.0,0,2021
231,6,Cooper Kupp,18,4,0,0,0,18,1,25.0,0,2021
232,7,Brandon Aiyuk,17,5,0,0,0,8,0,0.0,0,2021
