,concat_index,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,season_year
983,10,Jaelon Darden,2,26,0,1,0,25,1,50.0,0,16,2,2022
984,11,Mike Davis,2,4,0,0,0,7,0,0.0,0,11,2,2022
985,12,Trestan Ebner,2,8,0,0,0,6,0,0.0,0,-1,7,2022
986,13,Demetric Felton,2,8,0,0,0,5,0,0.0,0,11,4,2022
987,14,Jalen Guyton,2,64,0,1,1,54,2,100.0,0,7,4,2022
988,15,Deonte Harty,2,13,0,0,0,9,0,0.0,0,8,2,2022
989,16,Justin Herbert,2,-10,0,0,0,-2,0,0.0,0,5,2,2022
990,17,Dennis Houston,2,16,0,0,0,11,0,0.0,0,6,6,2022
991,18,Lil'Jordan Humphrey,2,20,0,0,0,11,0,0.0,0,15,4,2022
992,19,Caleb Huntley,2,3,0,0,0,2,0,0.0,0,9,2,2022
993,20,Andy Isabella,2,21,0,0,0,11,2,100.0,0,5,5,2022
994,21,Cade Johnson,2,21,0,0,0,11,2,100.0,0,6,4,2022
995,22,Keith Kirkwood,2,18,0,0,0,14,1,50.0,0,4,4,2022
996,23,Anthony McFarland,2,11,0,0,0,12,1,50.0,0,15,2,2022
997,24,Sean McKeon,2,11,0,0,0,10,1,50.0,0,7,3,2022
998,0,Racey McMath,2,40,0,1,0,39,1,50.0,0,7,8,2022
999,1,Kene Nwangwu,2,21,0,0,0,16,1,50.0,0,21,2,2022
1000,2,Dezmon Patmon,2,24,0,0,0,17,1,50.0,0,7,6,2022
1001,3,Larry Rountree III,2,14,0,0,0,13,1,50.0,0,31,2,2022
1002,4,Drew Sample,2,-2,0,0,0,2,0,0.0,0,0,2,2022
1003,5,Braylon Sanders,2,17,0,0,0,13,0,0.0,1,3,3,2022
1004,6,Mason Schreck,2,6,0,0,0,6,0,0.0,0,0,2,2022
1005,7,Benny Snell,2,17,0,0,0,11,1,50.0,0,18,2,2022
1006,8,Stephen Sullivan,2,46,0,1,0,33,2,100.0,0,21,6,2022
1007,9,Mike Thomas,2,38,0,1,0,33,1,50.0,0,24,10,2022
1008,10,Jalen Tolbert,2,12,0,0,0,8,0,0.0,0,2,3,2022
1009,11,Austin Trammell,2,13,0,0,0,8,1,50.0,0,0,4,2022
1010,12,Cole Turner,2,23,0,0,0,18,1,50.0,0,7,9,2022
1011,13,Jalen Virgil,2,75,1,1,1,66,2,100.0,0,43,5,2022
1012,14,Jonathan Ward,2,7,0,0,0,4,1,50.0,0,4,3,2022
1013,15,Nsimba Webster,2,14,0,0,0,8,1,50.0,1,4,3,2022
1014,16,Trevon Wesco,2,26,0,1,0,23,1,50.0,0,12,4,2022
1015,17,Kevin White,2,74,0,1,1,64,2,100.0,0,68,5,2022
1016,18,Trayveon Williams,2,30,0,1,0,24,1,50.0,0,8,3,2022
1017,19,Dareke Young,2,24,0,0,0,12,2,100.0,0,23,2,2022
1018,20,Salvon Ahmed,1,8,0,0,0,8,0,0.0,0,7,1,2022
1019,21,Maurice Alexander,1,7,0,0,0,7,0,0.0,0,4,1,2022
1020,22,Tyler Badie,1,24,1,1,0,24,1,100.0,0,31,1,2022
1021,23,Kendall Blanton,1,7,0,0,0,7,0,0.0,0,1,1,2022
1022,24,C.J. Board,1,6,0,0,0,6,0,0.0,0,0,1,2022
1023,0,John Brown,1,42,1,1,1,42,1,100.0,0,0,2,2022
1024,1,Jason Cabinda,1,5,0,0,0,5,1,100.0,0,2,4,2022
1025,2,Jalen Camp,1,7,0,0,0,7,1,100.0,0,0,1,2022
1026,3,Keke Coutee,1,20,0,1,0,20,0,0.0,1,8,1,2022
1027,4,Frank Darby,1,15,0,0,0,15,1,100.0,0,1,1,2022
1028,5,Jeff Driskel,1,4,0,0,0,4,0,0.0,0,7,1,2022
1029,6,Darrynton Evans,1,33,0,1,0,33,1,100.0,0,31,1,2022
1030,7,Erik Ezukanma,1,3,0,0,0,3,0,0.0,0,7,1,2022
1031,8,Jake Gervase,1,12,0,0,0,12,1,100.0,0,6,1,2022
1032,9,Jared Goff,1,5,0,0,0,5,0,0.0,0,9,1,2022
1033,10,Danny Gray,1,10,0,0,0,10,1,100.0,0,4,7,2022
1034,11,Kamu Grugier-Hill,1,4,0,0,0,4,1,100.0,0,4,1,2022
1035,12,Jacob Harris,1,6,0,0,0,6,1,100.0,0,2,1,2022
1036,13,Godwin Igwebuike,1,3,0,0,0,3,0,0.0,0,0,1,2022
1037,14,Tyron Johnson,1,8,0,0,0,8,0,0.0,0,10,1,2022
1038,15,Ronald Jones,1,22,0,1,0,22,1,100.0,0,23,1,2022
1039,16,Mason Kinsey,1,3,0,0,0,3,0,0.0,0,0,1,2022
1040,17,Tyler Mabry,1,7,1,0,0,7,1,100.0,0,1,1,2022
1041,18,Patrick Mahomes,1,6,0,0,0,6,0,0.0,0,15,1,2022
1042,19,Jason Moore,1,5,0,0,0,5,0,0.0,0,0,2,2022
1043,20,Devine Ozigbo,1,3,0,0,0,3,0,0.0,0,7,1,2022
1044,21,Richard Rodgers,1,4,0,0,0,4,0,0.0,0,3,4,2022
1045,22,Jeremy Ruckert,1,8,0,0,0,8,0,0.0,0,1,2,2022
1046,23,Penei Sewell,1,9,0,0,0,9,1,100.0,0,6,1,2022
1047,24,Keith Smith,1,8,0,0,0,8,0,0.0,0,8,2,2022
1048,0,Ihmir Smith-Marsette,1,15,0,0,0,15,0,0.0,1,5,4,2022
1049,1,Tommy Sweeney,1,7,0,0,0,7,1,100.0,0,8,1,2022
1050,2,J.J. Taylor,1,8,0,0,0,8,0,0.0,0,5,1,2022
1051,3,Patrick Taylor,1,17,0,0,0,17,1,100.0,0,17,1,2022
1052,4,KaVontae Turpin,1,9,0,0,0,9,0,0.0,0,5,2,2022
1053,5,Dwayne Washington,1,7,0,0,0,7,0,0.0,0,6,1,2022
1054,6,Cody White,1,2,0,0,0,2,0,0.0,0,2,1,2022
1055,7,Jameson Williams,1,41,1,1,1,41,1,100.0,0,5,9,2022
1056,8,Ty'Son Williams,1,5,0,0,0,5,0,0.0,0,6,1,2022
1057,9,Russell Wilson,1,1,0,0,0,1,0,0.0,0,2,1,2022
1058,10,Zach Wilson,1,2,1,0,0,2,1,100.0,0,0,1,2022
1059,11,Juwann Winfree,1,17,0,0,0,17,1,100.0,0,5,4,2022
1060,12,Bailey Zappe,1,-6,0,0,0,-6,0,0.0,0,2,1,2022
1061,13,Josh Ali,0,0,0,0,0,0,0,0.0,0,0,1,2022
1062,14,David Bakhtiari,0,0,0,0,0,0,0,0.0,0,0,1,2022
1063,15,Khari Blasingame,0,0,0,0,0,0,0,0.0,0,0,1,2022
1064,16,Tom Brady,0,0,0,0,0,0,0,0.0,0,0,1,2022
1065,17,Jack Conklin,0,0,0,0,0,0,0,0.0,0,0,1,2022
1066,18,Tanner Conner,0,0,0,0,0,0,0,0.0,0,0,3,2022
1067,19,Tyrion Davis-Price,0,0,0,0,0,0,0,0.0,0,0,2,2022
1068,20,Gus Edwards,0,0,0,0,0,0,0,0.0,0,0,2,2022
1069,21,Justin Fields,0,0,0,0,0,0,0,0.0,0,0,0,2022
1070,22,Joe Flacco,0,-3,0,0,0,-3,0,0.0,0,-3,0,2022
1071,23,Miller Forristall,0,0,0,0,0,0,0,0.0,0,0,1,2022
1072,24,Feleipe Franks,0,0,0,0,0,0,0,0.0,0,0,2,2022
1073,0,Tanner Gentry,0,0,0,0,0,0,0,0.0,0,0,1,2022
1074,1,Josh Gordon,0,0,0,0,0,0,0,0.0,0,0,1,2022
1075,2,Trevor Lawrence,0,0,0,0,0,0,0,0.0,0,0,0,2022
1076,3,Lance McCutcheon,0,0,0,0,0,0,0,0.0,0,0,5,2022
1077,4,Stanley Morgan,0,0,0,0,0,0,0,0.0,0,0,1,2022
1078,5,Kyler Murray,0,0,0,0,0,0,0,0.0,0,0,0,2022
1079,6,Jaret Patterson,0,0,0,0,0,0,0,0.0,0,0,1,2022
1080,7,Noah Togiai,0,0,0,0,0,0,0,0.0,0,0,1,2022
1081,8,Jake Tonges,0,0,0,0,0,0,0,0.0,0,0,1,2022
1082,9,Laremy Tunsil,0,0,0,0,0,0,0,0.0,0,0,0,2022
1083,10,DJ Turner,0,0,0,0,0,0,0,0.0,0,0,1,2022
1084,11,James Washington,0,0,0,0,0,0,0,0.0,0,0,1,2022
1085,12,Carson Wentz,0,0,0,0,0,0,0,0.0,0,0,0,2022
1086,13,Charlie Woerner,0,0,0,0,0,0,0,0.0,0,0,2,2022
1087,14,,0,0,0,0,0,0,0,0.0,0,0,15,2022
1088,15,,0,0,0,0,0,0,0,0.0,0,0,23,2022
1089,16,,0,0,0,0,0,0,0,0.0,0,0,23,2022
1090,17,,0,0,0,0,0,0,0,0.0,0,0,30,2022
1091,18,,0,0,0,0,0,0,0,0.0,0,0,18,2022
1092,19,,0,0,0,0,0,0,0,0.0,0,0,16,2022
1093,20,,0,0,0,0,0,0,0,0.0,0,0,33,2022
1094,21,,0,0,0,0,0,0,0,0.0,0,0,11,2022
1095,22,,0,0,0,0,0,0,0,0.0,0,0,30,2022
1096,23,,0,0,0,0,0,0,0,0.0,0,0,25,2022
1097,24,,0,0,0,0,0,0,0,0.0,0,0,23,2022
1098,0,,0,0,0,0,0,0,0,0.0,0,0,20,2022
1099,1,,0,0,0,0,0,0,0,0.0,0,0,21,2022
1100,2,,0,0,0,0,0,0,1,0.0,0,0,25,2022
1101,3,,0,0,0,0,0,0,0,0.0,0,0,22,2022
1102,4,,0,0,0,0,0,0,0,0.0,0,0,37,2022
1103,5,,0,0,0,0,0,0,0,0.0,0,0,14,2022
1104,6,,0,0,0,0,0,0,0,0.0,0,0,28,2022
1105,7,,0,0,0,0,0,0,0,0.0,0,0,22,2022
1106,8,,0,0,0,0,0,0,0,0.0,0,0,31,2022
1107,9,,0,0,0,0,0,0,0,0.0,0,0,22,2022
1108,10,,0,0,0,0,0,0,1,0.0,0,0,19,2022
1109,11,,0,0,0,0,0,0,0,0.0,0,0,31,2022
1110,12,,0,0,0,0,0,0,0,0.0,0,0,39,2022
1111,13,,0,0,0,0,0,0,0,0.0,0,0,31,2022
1112,14,,0,0,0,0,0,0,0,0.0,0,0,29,2022
1113,15,,0,0,0,0,0,0,0,0.0,0,0,23,2022
1114,16,,0,0,0,0,0,0,0,0.0,0,0,24,2022
1115,17,,0,0,0,0,0,0,0,0.0,0,0,8,2022
1116,18,,0,0,0,0,0,0,0,0.0,0,0,20,2022
1117,19,,0,0,0,0,0,0,0,0.0,0,0,27,2022
1118,20,,0,0,0,0,0,0,0,0.0,0,0,23,2022
